,,,CONTIN RANK:,CONTIN RANK:,CONTIN RANK:,CONTIN RANK:,CONTIN SCORE:,CONTIN SCORE:,CONTIN SCORE:,CONTIN SCORE:,CONTIN PERIM:,CONTIN PERIM:,CONTIN PERIM:,CONTIN PERIM:,CONTIN AREA:,CONTIN AREA:,CONTIN AREA:,CONTIN AREA:,RANK LAND:,RANK LAND:,RANK LAND:,RANK LAND:,RANK WATER:,RANK WATER:,RANK WATER:,RANK WATER:,LAND,WATER,LAND,WATER,LAND,WATER,LAND,WATER
,geoid,state,tiger_rank_c_4pi*a/p^2,500k_rank_c_4pi*a/p^2,5m_rank_c_4pi*a/p^2,20m_rank_c_4pi*a/p^2,tiger_c_4pi*a/p^2,500k_c_4pi*a/p^2,5m_c_4pi*a/p^2,20m_c_4pi*a/p^2,tiger_c_perim,500k_c_perim,5m_c_perim,20m_c_perim,tiger_c_area,500k_c_area,5m_c_area,20m_c_area,rank_tiger_aland,rank_cb500k_aland,rank_cb5m_aland,rank_cb20m_aland,rank_tiger_awater,rank_cb500k_awater,rank_cb5m_awater,rank_cb20m_awater,tiger_aland,tiger_awater,cb500k_aland,cb500k_awater,cb5m_aland,cb5m_awater,cb20m_aland,cb20m_awater
0,0101,AL,312.0,368.0,380.0,398.0,0.15970056258198118,0.1095098604279245,0.1262111264220029,0.1424401076159271,11.56301419285223,13.223036701012305,12.317447950185132,11.590213641160526,1.6991773075159955,1.523722105324312,1.5238044947573175,1.5226683189400991,130.0,130.0,130.0,130.0,44.0,44.0,44.0,44.0,15713054160,2275852112,15713067336,2275841324,15713067336,2275841324,15713067336,2275841324
1,0102,AL,230.0,206.0,231.0,251.0,0.2148182917116004,0.22068507999898065,0.2470879626385925,0.28285933748457426,12.161478120058005,11.998659877510415,11.339464018452967,10.610639321049854,2.5283321096769984,2.528299937211127,2.528289371515056,2.534216767832425,65.0,65.0,65.0,65.0,189.0,189.0,189.0,189.0,26266695180,306899655,26266692761,306904060,26266692761,306904060,26266692761,306904060
2,0103,AL,203.0,178.0,199.0,213.0,0.22624934605222602,0.2349131304268528,0.26802588044984016,0.31002594361423297,10.364453477993198,10.171525854617007,9.522394738863225,8.850550834385256,1.9340615078410008,1.9340586637781243,1.9340122856754665,1.9325412634464096,99.0,99.0,99.0,99.0,135.0,135.0,135.0,135.0,19538863715,470645995,19538924185,470585409,19538924185,470585409,19538924185,470585409
3,0104,AL,286.0,258.0,275.0,309.0,0.181939995664965,0.18877586558350712,0.21105888752989466,0.2336430565942651,12.618862409563885,12.389666699875706,11.719129266181538,11.12581446185867,2.305466022495489,2.3059816817433783,2.3066647033107017,2.301477013216336,78.0,78.0,78.0,78.0,118.0,118.0,118.0,118.0,23022928375,569202510,23022943167,572802918,23022943167,572802918,23022943167,572802918
4,0105,AL,177.0,147.0,185.0,240.0,0.25303514512539665,0.2643191603754242,0.2770035715026495,0.2884870873769591,6.98854933263123,6.836931876259742,6.679186703300577,6.5490316885236,0.9834336237479968,0.983198680902492,0.9833829439946272,0.9846246376309844,179.0,179.0,179.0,179.0,137.0,139.0,139.0,139.0,9524277750,464746305,9524263525,461158376,9524263525,461158376,9524263525,461158376
5,0106,AL,352.0,330.0,334.0,341.0,0.13443579001250675,0.13771351484880526,0.1617604008758769,0.2005751986590301,9.965807789057411,9.846727183571234,9.082973507605317,8.148967516778676,1.0625027259699964,1.0625527745054983,1.0619851537064988,1.0599186654524997,166.0,166.0,166.0,166.0,234.0,234.0,234.0,234.0,10802402204,177149895,10802402267,177149829,10802402267,177149829,10802402267,177149829
6,0107,AL,356.0,332.0,337.0,345.0,0.13198541910261388,0.13551957661405528,0.15883769947009682,0.1964098703868512,15.594606481548029,15.389205231954955,14.213954974820151,12.785781262082946,2.554258998445004,2.5540215367385644,2.5537218660324985,2.5551004921104274,64.0,64.0,64.0,64.0,181.0,181.0,181.0,181.0,26304372148,330254983,26304140854,330478285,26304140854,330478285,26304140854,330478285
7,0200,AK,422.0,435.0,435.0,435.0,0.0621166895975195,0.018584161217145755,0.02287345753138112,0.02563656850828263,252.0358031627932,436.7314854100171,393.7671142929257,371.8845717981594,313.9951335024439,282.0733820980162,282.22848143597776,282.141098227428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1478466120147,244870402040,1477849153946,245487947305,1477849153946,245487947305,1477849153946,245487947305
8,0401,AZ,251.0,231.0,249.0,263.0,0.2035743520330344,0.20846330161160045,0.2352869927758016,0.2742202013014177,29.514449465704928,29.1661413434026,27.454395601060835,25.427509899185427,14.111805126475641,14.111646865389517,14.112755891602113,14.109032875258167,11.0,11.0,11.0,11.0,176.0,176.0,176.0,176.0,142551598512,354192558,142551452291,354192557,142551452291,354192557,142551452291,354192557
9,0402,AZ,20.0,17.0,27.0,38.0,0.4688789377141754,0.4704803478862205,0.4933508786329382,0.5390855060501789,7.227858895930992,7.2155173762948275,7.0440183212569725,6.741147841772827,1.9492618880559929,1.9492456660089832,1.9479912228975031,1.9494652367543857,94.0,94.0,94.0,94.0,252.0,251.0,251.0,251.0,20300636510,138377181,20300717170,138380211,20300717170,138380211,20300717170,138380211
10,0403,AZ,185.0,161.0,215.0,239.0,0.2468086146705412,0.2475796556592013,0.2576640466208794,0.2889857552404187,14.081090379565325,14.058958377905155,13.781971382318403,12.988316303558149,3.894242770885029,3.89413838548834,3.894633961979231,3.879468990128795,42.0,42.0,42.0,42.0,391.0,391.0,391.0,391.0,40633785865,8052526,40633236765,8538033,40633236765,8538033,40633236765,8538033
11,0404,AZ,373.0,350.0,366.0,361.0,0.12099359403183052,0.12453516893188005,0.14203084850919775,0.17714708029253878,29.715470944949704,29.291391569683288,27.429319525742496,24.58758866088973,8.501934375554905,8.502803826011116,8.503601205698738,8.52228419533693,23.0,23.0,23.0,23.0,129.0,129.0,129.0,129.0,85985850819,503981072,85985965927,503967663,85985965927,503967663,85985965927,503967663
12,0405,AZ,11.0,9.0,9.0,8.0,0.5161060247734547,0.5197447556643534,0.5588049634842617,0.7069089063291732,1.3408594746936362,1.3362331050861365,1.2890567977483351,1.1753479978030297,0.07384066429249958,0.07384901485699981,0.07389150255250211,0.07771172209000139,343.0,343.0,343.0,343.0,420.0,420.0,420.0,420.0,760127492,2295744,760233362,2298572,760233362,2298572,760233362,2298572
13,0406,AZ,108.0,87.0,89.0,24.0,0.31864465377088474,0.3250890523182947,0.3759014357017125,0.6063443762654721,2.4996692174937456,2.474218723300392,2.3010137192920888,1.7951469018415618,0.1584389137999994,0.1583684472094999,0.15838080154549858,0.15549251127749972,299.0,299.0,299.0,299.0,387.0,387.0,387.0,387.0,1619240143,10576374,1618400173,10576376,1618400173,10576376,1618400173,10576376
14,0407,AZ,49.0,35.0,35.0,9.0,0.4068420244493753,0.4114806406269956,0.4655466921391406,0.6894581477039756,1.2624846216857948,1.2553100840562317,1.180205030464896,0.9697640485000129,0.05160219030249996,0.05159903486600007,0.05160221026149976,0.05159768343700127,371.0,371.0,371.0,371.0,427.0,427.0,427.0,427.0,531238883,1021257,531240937,1022497,531240937,1022497,531240937,1022497
15,0408,AZ,254.0,234.0,245.0,158.0,0.20287320199602546,0.20641589341582603,0.238455100698619,0.3654227767858976,2.9055905296204423,2.881252177710365,2.681537657810671,2.1750452952728248,0.13629616697549918,0.13636276902999964,0.1364471765050001,0.1375695638865003,305.0,305.0,305.0,305.0,409.0,401.0,401.0,401.0,1397551063,4088398,1397072869,5340697,1397072869,5340697,1397072869,5340697
16,0409,AZ,334.0,309.0,320.0,206.0,0.1499972018269467,0.15257435789388754,0.17883289212763304,0.3147349248251353,1.869100083865462,1.853132700306332,1.7170881858530291,1.318443842638782,0.04170022587199978,0.041695071818,0.04195876882000023,0.043536984584498256,390.0,390.0,390.0,390.0,412.0,412.0,412.0,412.0,426702437,3529539,426717588,3529537,426717588,3529537,426717588,3529537
17,0501,AR,365.0,343.0,373.0,376.0,0.12560584506332312,0.12895391061812406,0.13419368025976816,0.1683969842798575,22.54734508908666,22.252513394080992,21.812505182021322,19.46387360674883,5.081486888477988,5.081393119255043,5.080813977727924,5.0767174991469535,38.0,38.0,38.0,38.0,70.0,70.0,70.0,70.0,50034996752,1235292625,50035029191,1235260735,50035029191,1235260735,50035029191,1235260735
18,0502,AR,190.0,162.0,192.0,180.0,0.2406570295417481,0.2469165464548271,0.2716798138044241,0.3362756092649012,8.253771586240495,8.148447249102839,7.767642398424338,6.976111849077793,1.3046486824919992,1.3046380683134982,1.304445545631998,1.302303999674997,150.0,150.0,150.0,150.0,190.0,190.0,190.0,190.0,12893284444,304897216,12893726101,304455194,12893726101,304455194,12893726101,304455194
