,geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1,cpolsby,rank_cpolsby,dpolsby_0.5,dpolsby_pro_0.5,dpop_polsby_0.5,dpop_polsby_pro_0.5,rank_dpolsby_0.5,rank_dpolsby_pro_0.5,rank_dpop_polsby_0.5,rank_dpop_polsby_pro_0.5,dpolsby_0.1,dpolsby_pro_0.1,dpop_polsby_0.1,dpop_polsby_pro_0.1,rank_dpolsby_0.1,rank_dpolsby_pro_0.1,rank_dpop_polsby_0.1,rank_dpop_polsby_pro_0.1
0,0101,1.5226683189400991,11.590213641160524,47,216868,43.92868372822696,205668.49121085726,165,666616,161.92868372822696,655416.4912108573,52,238977,45.65356227628271,213922.98472409925,170,688725,163.65356227628268,663670.9847240994,0.1424401076159271,38.0,0.07469443186962427,0.08391264390309622,1.4173750533184306e-05,1.5494652491621326e-05,221.0,211.0,190.0,174.0,0.0628698224852071,0.07851924628102824,1.2059620403830124e-05,1.450233497411452e-05,279.0,226.0,243.0,193.0
1,0104,2.301477013216336,11.125814461858672,67,284497,64.38171641117633,274134.9334826489,168,689905,165.38171641117637,679542.9334826489,71,304789,65.23676165700424,278562.7929477558,172,710197,166.2367616570043,683970.7929477559,0.2336430565942651,127.0,0.03742481621742036,0.03989903513515901,8.523812936974733e-06,9.042492073292194e-06,62.0,42.0,68.0,56.0,0.034120214243205715,0.039060903175154066,7.645048684234726e-06,8.814371290606293e-06,115.0,61.0,129.0,65.0
2,0107,2.5551004921104274,12.785781262082946,73,279958,66.57297914091609,250580.54447320374,198,683347,191.57297914091615,653969.5444732035,95,377289,71.90875868784983,274633.1835696553,220,780678,196.90875868784985,678022.1835696549,0.19640987038685118,91.0,0.03715518859072997,0.04322532515372777,8.718776150958538e-06,1.0415085186972562e-05,57.5,58.0,73.0,78.0,0.02437673130193906,0.03808039552974518,5.484330948107821e-06,8.989548518892767e-06,54.0,56.0,62.0,72.0
3,0103,1.9325412634464096,8.850550834385256,56,248672,52.57556384450729,232954.62864413802,166,683565,162.57556384450737,667847.6286441379,59,262761,53.53607738540615,237303.44481398512,169,697654,163.5360773854062,672196.4448139849,0.31002594361423297,223.0,0.05293367346938776,0.058814903797497715,1.1054167556875661e-05,1.230650408672538e-05,139.0,130.0,126.0,116.0,0.04854926745188164,0.05705851733859459,1.0104580231251923e-05,1.193680572909252e-05,208.5,150.0,198.0,140.0
4,0106,1.0599186654524997,8.148967516778676,53,259253,48.805321778140524,238281.3019376997,145,670952,140.80532177814055,649980.3019376997,66,328347,53.09125826020983,260808.13269618497,158,740046,145.09125826020986,672507.1326961848,0.2005751986590301,95.0,0.051619793520825914,0.05911323248251133,9.982604623620946e-06,1.1447753426008455e-05,133.0,133.0,97.0,99.0,0.03627180899908173,0.05147486432122091,6.864242380483019e-06,9.886774651063593e-06,131.0,118.0,102.0,88.0
5,0105,0.9846246376309844,6.5490316885236,36,183692,35.51906887304279,181363.08990807613,149,683019,148.5190688730428,680690.089908076,37,185649,35.74492046037722,181805.0814644896,150,684976,148.74492046037724,681132.0814644896,0.2884870873769591,196.0,0.11496913580246913,0.11772239071666528,2.0241947752063988e-05,2.0694341671186846e-05,323.0,283.0,274.0,236.0,0.1095690284879474,0.11641621463899482,1.9874221538059307e-05,2.060721493716598e-05,373.0,317.0,346.0,269.0
6,0102,2.534216767832425,10.610639321049854,50,180575,47.46022204156304,170861.9664405229,186,691230,183.460222041563,681516.9664405229,58,213243,50.17385167705,182602.65017728767,194,723898,186.17385167705,693257.6501772879,0.28285933748457426,185.0,0.0744,0.08144836737742787,2.119860739137091e-05,2.3344569607437103e-05,218.5,198.0,283.0,263.0,0.05766944114149822,0.07395436297899209,1.5919440836175775e-05,2.079124605560594e-05,256.0,208.0,305.0,272.0
7,0200,282.141098227428,371.8845717981594,50,154266,41.337518858929634,127040.67192932866,155,647777,146.33751885892963,620551.6719293287,62,216720,45.14704241813716,145739.01496718364,167,710231,150.14704241813718,639250.0149671837,0.02563656850828263,1.0,0.062,0.08563807079975463,2.7219809810128726e-05,3.844964955562136e-05,172.0,215.0,328.0,343.0,0.043444328824141516,0.07366448755022642,1.5121735602078902e-05,3.009671440453293e-05,175.5,206.0,296.0,336.0
8,0407,0.05159768343700127,0.9697640485000129,37,149902,32.393134456466,133453.08246892586,169,717177,164.39313445646602,700728.082468926,46,190852,34.85771513667817,144369.662665954,178,758127,166.8577151366782,711644.6626659541,0.6894581477039756,428.0,0.12344777209642074,0.1566670727122937,3.191622357554265e-05,3.934524950806112e-05,333.5,335.0,352.0,347.0,0.08412098298676748,0.1373246369022823,2.0813663698593075e-05,3.4143757486902496e-05,343.5,344.0,349.0,358.0
9,0405,0.07771172209000139,1.1753479978030297,22,87665,20.424078055266687,80968.27465041427,186,766754,184.42407805526668,760057.274650414,24,94861,21.31122236974205,84164.89027083734,188,773950,185.3112223697421,763253.890270837,0.7069089063291732,429.0,0.384297520661157,0.4421124022004361,9.977082789664585e-05,0.00011593552955108567,423.0,420.0,428.0,422.0,0.3263888888888889,0.4080233332531639,8.600773434999979e-05,0.00010774747548136958,429.0,427.0,430.0,429.0
