,geoid,perim (b),w_perim (b),area (b),w_area (b),a/p^2 (b) 0.5,w_a/p^2 (b) 0.5,rank_a/p^2 (b) 0.5,rank_w_a/p^2 (b) 0.5,a/p^2 (b) 0.1,w_a/p^2 (b) 0.1,rank_a/p^2 (b) 0.1,rank_w_a/p^2 (b) 0.1
0,0102,919,23024,34490,682820,0.04083778436371085,0.0012880854663665457,231.0,264.0,0.04083778436371085,0.0012880854663665457,231.0,264.0
1,0105,629,10598,32943,682819,0.08326487901911075,0.006079358672928956,352.0,378.0,0.08326487901911075,0.006079358672928956,352.0,378.0
2,0101,698,10134,35370,682820,0.07259792612540127,0.00664881782067795,327.0,382.0,0.07259792612540127,0.00664881782067795,327.0,382.0
3,0107,1587,39601,38237,682820,0.015182033924820006,0.0004354055169419273,51.0,135.0,0.015182033924820006,0.0004354055169419273,51.0,135.0
4,0106,1336,33529,29709,682819,0.016644667252321704,0.0006073854660087931,60.0,173.0,0.016644667252321704,0.0006073854660087931,60.0,173.0
5,0103,907,22465,38023,682819,0.04622019840782642,0.0013529842821504024,253.0,269.0,0.04622019840782642,0.0013529842821504024,253.0,269.0
6,0104,1147,19373,43494,682819,0.033059974506103255,0.0018193315054534104,182.0,296.0,0.033059974506103255,0.0018193315054534104,182.0,296.0
7,0200,472,271,45292,710231,0.20330005745475438,9.670769733527594,422.0,436.0,0.20330005745475438,9.670769733527594,422.0,436.0
8,0401,1260,14645,90570,710224,0.057048374905517764,0.003311437723633679,294.0,342.0,0.057048374905517764,0.003311437723633679,294.0,342.0
9,0406,464,24747,13139,710224,0.06102760850178359,0.0011597122037748813,302.0,255.0,0.06102760850178359,0.0011597122037748813,302.0,255.0
10,0407,401,32244,10134,710224,0.06302199613186485,0.000683120815492575,307.0,184.0,0.06302199613186485,0.000683120815492575,307.0,184.0
11,0403,905,32519,24073,710224,0.029392265193370164,0.0006716159165819412,154.0,183.0,0.029392265193370164,0.0006716159165819412,154.0,183.0
12,0408,515,24152,13061,710225,0.049244980676783866,0.001217558271501425,266.0,260.0,0.049244980676783866,0.001217558271501425,266.0,260.0
13,0404,1436,16707,48774,710224,0.0236526330490918,0.0025444762335589603,108.0,321.0,0.0236526330490918,0.0025444762335589603,108.0,321.0
14,0409,603,55135,10023,710224,0.027565324290652872,0.0002336364432376012,138.0,65.0,0.027565324290652872,0.0002336364432376012,138.0,65.0
15,0405,343,20879,13326,710224,0.11326913105933752,0.0016292058295308976,391.0,286.0,0.11326913105933752,0.0016292058295308976,391.0,286.0
16,0402,466,23812,18566,710224,0.08549614102304334,0.0012525745869380702,357.0,261.0,0.08549614102304334,0.0012525745869380702,357.0,261.0
17,0501,1214,11372,61842,728765,0.041961031241772945,0.005635258007616067,235.0,373.0,0.041961031241772945,0.005635258007616067,235.0,373.0
18,0504,1407,14486,66769,729002,0.03372769617240228,0.0034740155500893625,189.0,348.0,0.03372769617240228,0.0034740155500893625,189.0,348.0
19,0503,966,16366,29726,728959,0.03185533822854914,0.002721560597315869,171.0,325.0,0.03185533822854914,0.002721560597315869,171.0,325.0
20,0502,599,11831,27874,729192,0.07768651703869275,0.005209535317425534,339.0,370.0,0.07768651703869275,0.005209535317425534,339.0,370.0
21,0641,381,29543,7613,702904,0.052445216001543116,0.0008053540106583098,275.0,200.0,0.052445216001543116,0.0008053540106583098,275.0,200.0
22,0634,411,33485,5196,702904,0.03075994103752642,0.0006268958692778379,161.0,174.0,0.03075994103752642,0.0006268958692778379,161.0,174.0
23,0650,747,61960,13137,702905,0.023542631032832804,0.00018309387426278476,107.0,51.0,0.023542631032832804,0.00018309387426278476,107.0,51.0
24,0647,543,50917,8136,702905,0.02759378529348921,0.0002711259070136116,139.0,81.0,0.02759378529348921,0.0002711259070136116,139.0,81.0
25,0638,572,51450,8436,702905,0.025783656902538022,0.0002655375075200148,125.0,80.0,0.025783656902538022,0.0002655375075200148,125.0,80.0
26,0616,556,14040,15675,702904,0.050705838207132134,0.0035658395629905603,269.0,350.0,0.050705838207132134,0.0035658395629905603,269.0,350.0
27,0639,608,52240,8256,702905,0.022333795013850414,0.00025756704537193163,94.0,76.0,0.022333795013850414,0.00025756704537193163,94.0,76.0
28,0602,643,7092,32905,702905,0.07958659955641445,0.013975236907310224,343.0,404.0,0.07958659955641445,0.013975236907310224,343.0,404.0
29,0601,1074,7747,56901,702905,0.049330025072043114,0.011711958387636206,267.0,398.0,0.049330025072043114,0.011711958387636206,267.0,398.0
30,0623,1267,23606,33001,702904,0.020557669055229308,0.001261395302068772,79.0,263.0,0.020557669055229308,0.001261395302068772,79.0,263.0
31,0625,584,24470,13693,702904,0.040148831863389,0.0011738918191946336,226.0,257.0,0.040148831863389,0.0011738918191946336,226.0,257.0
32,0644,542,45381,7758,702904,0.026408954126441633,0.00034130911878706144,129.0,103.0,0.026408954126441633,0.00034130911878706144,129.0,103.0
33,0636,394,10497,17411,702905,0.11215826225875442,0.006379200292114291,390.0,379.0,0.11215826225875442,0.006379200292114291,390.0,379.0
34,0635,391,44037,5892,702905,0.038539779305472886,0.00036246091479980345,213.0,112.0,0.038539779305472886,0.00036246091479980345,213.0,112.0
35,0617,396,38229,8748,702904,0.05578512396694215,0.0004809613070089442,289.0,151.0,0.05578512396694215,0.0004809613070089442,289.0,151.0
36,0618,594,35261,11855,702906,0.033599179222074844,0.0005653377694513719,187.0,166.0,0.033599179222074844,0.0005653377694513719,187.0,166.0
37,0606,378,28276,10605,702905,0.07422104644326867,0.0008791453566216452,330.0,213.0,0.07422104644326867,0.0008791453566216452,330.0,213.0
38,0605,599,14984,14834,702905,0.041343251551695784,0.0031306974814780185,233.0,337.0,0.041343251551695784,0.0031306974814780185,233.0,337.0
39,0628,584,44839,7226,702904,0.021187136423343966,0.0003496102669234528,86.0,107.0,0.021187136423343966,0.0003496102669234528,86.0,107.0
40,0645,397,25851,8847,702906,0.05613258126122239,0.0010518227382535152,290.0,242.0,0.05613258126122239,0.0010518227382535152,290.0,242.0
41,0604,728,13453,27526,702906,0.05193741697862577,0.003883818857472021,273.0,358.0,0.05193741697862577,0.003883818857472021,273.0,358.0
42,0653,494,57406,7899,702904,0.03236817518726745,0.0002132953764359399,175.0,60.0,0.03236817518726745,0.0002132953764359399,175.0,60.0
43,0622,590,23286,13630,702905,0.0391554151106004,0.0012963039559123614,218.0,266.0,0.0391554151106004,0.0012963039559123614,218.0,266.0
44,0610,343,10043,12035,702905,0.10229581211910004,0.006968987847922558,381.0,385.0,0.10229581211910004,0.006968987847922558,381.0,385.0
45,0642,611,38358,9984,702906,0.026743740641431906,0.00047773310899194344,133.0,148.0,0.026743740641431906,0.00047773310899194344,133.0,148.0
46,0629,351,28319,4771,702905,0.03872533502163132,0.0008764775682237636,215.0,212.0,0.03872533502163132,0.0008764775682237636,215.0,212.0
47,0619,470,31140,7429,702904,0.03363060208239022,0.0007248677837961364,188.0,190.0,0.03363060208239022,0.0007248677837961364,188.0,190.0
48,0637,448,49987,6368,702904,0.031728316326530615,0.0002813078610713457,168.0,87.0,0.031728316326530615,0.0002813078610713457,168.0,87.0
49,0609,350,15402,13434,702904,0.10966530612244899,0.002963069080335533,388.0,332.0,0.10966530612244899,0.002963069080335533,388.0,332.0
50,0649,479,35670,9993,702906,0.043553680466873836,0.0005524475244172413,240.0,165.0,0.043553680466873836,0.0005524475244172413,240.0,165.0
51,0603,961,13945,24472,702906,0.026498585305585905,0.003614599742033222,130.0,351.0,0.026498585305585905,0.003614599742033222,130.0,351.0
52,0614,356,26302,8375,702905,0.06608224971594495,0.001016059371235537,313.0,236.0,0.06608224971594495,0.001016059371235537,313.0,236.0
53,0615,302,17594,10878,702904,0.11927108460155256,0.002270737015467246,397.0,310.0,0.11927108460155256,0.002270737015467246,397.0,310.0
54,0631,601,62636,8195,702905,0.02268819853765632,0.00017916311379571713,98.0,47.0,0.02268819853765632,0.00017916311379571713,98.0,47.0
55,0627,666,36912,8641,702905,0.019481192904616328,0.0005158951894678359,72.0,157.0,0.019481192904616328,0.0005158951894678359,72.0,157.0
56,0607,320,29479,8552,702904,0.083515625,0.00080885471334088,353.0,201.0,0.083515625,0.00080885471334088,353.0,201.0
57,0613,211,11851,11534,702906,0.2590687540711125,0.00500480607517465,429.0,368.0,0.2590687540711125,0.00500480607517465,429.0,368.0
58,0621,1065,26791,26314,702904,0.023199982366814344,0.0009793054377637514,102.0,229.0,0.023199982366814344,0.0009793054377637514,102.0,229.0
59,0640,531,59375,6122,702904,0.021712222612347096,0.0001993832952908587,90.0,55.0,0.021712222612347096,0.0001993832952908587,90.0,55.0
60,0632,552,41669,8379,702905,0.027498818525519848,0.0004048279380014034,137.0,126.0,0.027498818525519848,0.0004048279380014034,137.0,126.0
61,0608,962,25087,42762,702905,0.04620700982447344,0.001116861120963177,252.0,250.0,0.04620700982447344,0.001116861120963177,252.0,250.0
62,0646,403,32996,6492,702906,0.039973154197119616,0.0006456165587159192,224.0,177.0,0.039973154197119616,0.0006456165587159192,224.0,177.0
63,0620,372,13194,17195,702906,0.12425569429991906,0.004037795233036528,401.0,360.0,0.12425569429991906,0.004037795233036528,401.0,360.0
64,0624,510,5299,22548,702904,0.08668973471741638,0.02503272772805944,359.0,415.0,0.08668973471741638,0.02503272772805944,359.0,415.0
65,0633,701,52909,10339,702904,0.021039843223762265,0.0002510943312949497,84.0,73.0,0.021039843223762265,0.0002510943312949497,84.0,73.0
66,0643,471,46724,7574,702904,0.03414156986310015,0.0003219704275019581,190.0,98.0,0.03414156986310015,0.0003219704275019581,190.0,98.0
67,0648,437,32898,10295,702906,0.05390927323282836,0.0006494687479692147,284.0,179.0,0.05390927323282836,0.0006494687479692147,284.0,179.0
68,0611,403,15790,12279,702906,0.07560541595601229,0.0028192461137932514,334.0,327.0,0.07560541595601229,0.0028192461137932514,334.0,327.0
69,0630,407,47249,6443,702904,0.0388954958979529,0.00031485512880146315,217.0,96.0,0.0388954958979529,0.00031485512880146315,217.0,96.0
70,0652,439,32716,8717,702904,0.045231189128325404,0.0006567130033898419,246.0,180.0,0.045231189128325404,0.0006567130033898419,246.0,180.0
71,0612,172,18379,6140,702905,0.20754461871281774,0.002080907986802276,423.0,303.0,0.20754461871281774,0.002080907986802276,423.0,303.0
72,0626,349,15750,12942,702905,0.10625528526038375,0.0028335802469135803,384.0,328.0,0.10625528526038375,0.0028335802469135803,384.0,328.0
73,0651,630,32427,15763,702906,0.039715293524817334,0.0006684727487826703,222.0,182.0,0.039715293524817334,0.0006684727487826703,222.0,182.0
74,0801,688,66103,12967,718457,0.02739445308274743,0.0001644214375088611,136.0,36.0,0.02739445308274743,0.0001644214375088611,136.0,36.0
75,0804,982,14482,44232,718456,0.04586840107681651,0.003425650795740875,250.0,347.0,0.04586840107681651,0.003425650795740875,250.0,347.0
76,0806,714,42102,11695,718456,0.022940548768527018,0.00040531690918648925,100.0,127.0,0.022940548768527018,0.00040531690918648925,100.0,127.0
77,0802,843,21465,28764,718457,0.04047567786628842,0.0015593334486896772,228.0,283.0,0.04047567786628842,0.0015593334486896772,228.0,283.0
78,0807,610,27276,13839,718456,0.0371916151572158,0.0009656923976963601,209.0,227.0,0.0371916151572158,0.0009656923976963601,209.0,227.0
79,0803,862,4485,61489,718457,0.08275283832451376,0.03571707500164676,349.0,422.0,0.08275283832451376,0.03571707500164676,349.0,422.0
80,0805,318,6335,28076,718457,0.2776393338871089,0.01790224688514031,431.0,407.0,0.2776393338871089,0.01790224688514031,431.0,407.0
81,0904,378,22487,11499,714819,0.08047787016040985,0.0014136211940672543,344.0,275.0,0.08047787016040985,0.0014136211940672543,344.0,275.0
