geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
1717,1.9622417813343864,10.559342169534828,133,144115,121.74469163592019,129187.74033827515,704,712661,692.7446916359198,697733.7403382757,161,177826,129.20182399026976,138777.91278081783,732,746372,700.2018239902695,707323.9127808183
1710,0.09112430748621786,1.7678464079520868,59,109105,49.7896379465779,91268.06880481547,405,670475,395.78963794657784,652638.0688048153,93,181454,59.92366006495149,112212.28564508623,439,742824,405.92366006495143,673582.285645086
1718,2.9414742341743976,11.821230004196861,131,148097,118.98902560243704,131747.56837921476,621,771213,608.9890256024373,754863.5683792147,168,197662,130.49641435664475,148087.138600796,658,820778,620.4964143566452,771203.1386007959
1714,0.4551629514494857,5.3088403127370505,118,326587,108.32452638732727,299730.5732371127,329,732520,319.32452638732707,705663.5732371127,135,376740,112.8328220474523,311767.52883458696,346,782673,323.83282204745205,717700.5288345872
1707,0.01102558302841812,1.0213472936290215,96,118339,77.2243915923201,96176.3177061372,382,474537,363.22439159232,452374.31770613714,170,211135,99.39784946132117,123256.26361543276,456,567333,385.39784946132113,479454.263615433
1705,0.027810976203997483,1.1651839729291884,91,125759,74.18522513797326,102071.15232379518,609,765147,592.1852251379736,741459.1523237954,162,222641,94.59914286125245,129867.46534407345,680,862029,612.5991428612525,769255.465344074
1702,0.303095976507583,2.90291122683796,58,86878,53.6431380955498,79965.63493072198,515,672787,510.6431380955498,665874.6349307218,86,119723,61.09190387090369,88900.73683817983,543,705632,518.0919038709037,674809.7368381798
1713,1.5836250133218863,9.529561211074911,114,150439,100.7860255851976,131806.8380519236,580,679682,566.7860255851978,661049.8380519236,153,208073,111.85704317983134,148252.04688307687,619,737316,577.8570431798315,677495.0468830765
1703,0.07044434846300213,1.6798931887577835,98,151036,78.82630269731051,123369.33727481331,562,759362,542.8263026973104,731695.337274813,149,229725,93.91948322866537,146282.18939776014,613,838051,557.9194832286653,754608.1893977599
1704,0.025189584326000117,1.2402470731004942,126,164567,101.44711125730046,132047.5056283585,729,973739,704.4471112573004,941219.5056283576,191,255359,120.06531240160591,157841.01341774294,794,1064531,723.0653124016059,967013.0134177421
1712,1.3774379695120278,7.941697646211005,82,105283,78.83847120479923,101062.28333037981,584,699956,580.8384712047989,695735.2833303801,90,117364,81.10971402541647,104282.33127822109,592,712037,583.1097140254162,698955.3312782213
1706,0.11297356414399809,2.611587437966536,110,192764,93.27814150588145,165953.9559271815,468,751959,451.2781415058814,725148.9559271818,148,267671,104.03420560862617,187731.7496717536,506,826866,462.0342056086263,746926.7496717541
1708,0.060495191295501356,1.6406765071362817,84,140533,69.63982079993127,116171.36625776514,479,734811,464.6398207999312,710449.3662577649,128,210838,83.53808099413146,137763.63249157552,523,805116,478.5380809941313,732041.6324915754
1711,0.07450110094450009,2.3510175674241016,66,143953,58.24154100927398,127721.46110563634,399,658441,391.2415410092738,642209.4611056362,104,211706,68.66942368364624,146084.99423518396,437,726194,401.66942368364613,660572.9942351838
1709,0.023673937091465116,1.023181935565614,86,120164,69.61367931559629,97268.554900955,442,579115,425.6136793155963,556219.5549009551,140,202089,85.48850840990887,121754.83031497677,496,661040,441.48850840990895,580705.8303149767
1701,0.07013984883216653,1.9107782769839878,95,130532,78.10963247081565,109249.88987261802,597,712777,580.1096324708157,691494.8898726178,155,207817,96.02107678391775,132321.24769866833,657,790062,598.0210767839178,714566.2476986684
1716,2.228096631397044,10.606099853469821,96,119176,91.32658251439985,113748.73475225302,560,689701,555.3265825143999,684273.734752253,114,149036,97.12811862506116,123722.56843275412,578,719561,561.1281186250611,694247.5684327541
1715,3.9958896086991778,14.113723633089093,111,117630,107.20679629996154,112425.33967641403,669,713875,665.2067962999614,708670.3396764136,124,135516,110.9983187074321,117834.01559365436,682,731761,668.9983187074318,714079.0155936538
