geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
4836,1.7864095960104458,8.209138891307296,62,287497,57.525597861768965,265642.20652932255,149,706104,144.52559786176894,684249.2065293224,71,342346,59.60324306135416,278634.8427593704,158,760953,146.60324306135414,697241.8427593705
4830,0.09106059239199958,1.6671345999541543,38,201367,32.51472082816937,170841.03485101077,151,712087,145.51472082816943,681561.0348510109,61,319406,39.525187615046015,209274.5083594092,174,830126,152.52518761504606,719994.5083594093
4823,14.165661095609845,24.96856928856468,90,446192,81.65179339664367,400399.03666408005,157,729665,148.65179339664374,683872.0366640801,109,552622,86.30635989021562,426741.3630782537,176,836095,153.30635989021567,710214.3630782536
4835,0.1436955900215015,3.9971826102404333,63,297992,50.96289341440797,244860.33240881044,123,558121,110.962893414408,504989.33240881073,97,466005,61.590971865387125,296411.48627391056,157,726134,121.59097186538715,556540.4862739106
4821,1.4372967390170006,7.975316276545241,72,354861,62.20971513316464,306899.98260731634,143,678138,133.20971513316468,630176.9826073165,111,536539,74.3812257391953,365546.9961124071,182,859816,145.3812257391954,688823.9961124073
4810,1.2484182981549952,7.804342023412092,71,432649,61.79229913614529,364124.4264589088,132,762182,122.79229913614525,693657.4264589091,99,616611,71.15738392698718,422978.5185437668,160,946144,132.1573839269872,752511.5185437672
4822,0.25582253697149876,3.520740502850807,40,342910,35.03166489076687,296785.3333020372,92,725572,87.03166489076685,679447.3333020371,57,446661,38.70543886658621,317688.54007654736,109,829323,90.70543886658619,700350.5400765474
4826,0.2480736470415005,2.1385829171443898,27,160571,23.796947178534452,143268.96517805487,141,748665,137.79694717853442,731362.9651780552,32,188841,25.217014002798273,152341.74718211463,146,776935,139.2170140027982,740435.747182115
4834,1.973754628086645,17.276861539526642,54,297652,47.73478847531859,257767.75034154163,140,707114,133.73478847531857,667229.7503415416,60,327659,49.137977005980424,264396.87133153534,146,737121,135.1379770059804,673858.8713315354
4807,0.03797167395500019,1.2650354051787782,45,277884,37.950475170617366,232988.59637528865,135,691024,127.95047517061734,646128.5963752884,71,437048,45.61120923621382,279385.50733506837,161,850188,135.61120923621382,692525.5073350682
4806,0.5579753559819989,4.506016158123658,44,222699,40.11162248184788,202347.0172429111,135,699462,131.1116224818479,679110.017242911,64,319996,45.694942128414894,231381.5218888057,155,796759,136.6949421284149,708144.5218888057
4828,2.246822675191555,12.449780408878368,60,285286,55.024644280019416,260209.97121955742,133,635452,128.02464428001946,610375.9712195576,85,434662,62.517970041124805,304865.886811056,158,784828,135.5179700411249,655031.8868110559
4812,0.3672069105260015,3.583707673395138,46,248251,39.76778988821707,215313.78423220984,132,658788,125.76778988821708,625850.7842322098,65,352954,44.569749737903365,241340.73236499645,151,763491,130.56974973790335,651877.7323649963
4831,0.5406740625249972,3.5710598058061587,26,141034,24.08590984476922,130183.21812421532,151,700537,149.0859098447692,689686.2181242154,32,177211,25.497715833798896,138482.11423894053,157,736714,150.49771583379888,697985.1142389406
4802,0.0819457356489996,2.59892858726564,62,373122,53.70406802279196,319077.92539230274,124,709572,115.70406802279194,655527.9253923023,91,544449,61.03143642311863,366730.64510658337,153,880899,123.03143642311863,703180.6451065831
4808,1.5195654499325013,6.576278258955113,37,268712,34.27167070284616,247831.98322925853,102,678494,99.2716707028462,657613.9832292586,49,375934,37.5704727994995,277567.723109413,114,785716,102.57047279949953,687349.723109413
4803,0.13032449092099818,1.5784175471869193,23,107445,22.068396431710077,98341.1156191273,141,695424,140.06839643171003,686320.1156191274,28,146424,23.361361122080602,109588.20805216381,146,734403,141.36136112208058,697567.208052164
