geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
0626,0.24110454095012684,3.7574202032699313,34,155401,31.34155665616896,141568.41068663087,148,715887,145.34155665616893,702054.4106866308,42,187076,32.83051356082542,148063.15336997906,156,747562,146.8305135608254,708549.1533699791
0618,0.18399145622299776,3.1386671681325686,50,240403,47.667063882845014,229869.91814965123,151,693447,148.66706388284504,682913.9181496511,65,312333,52.01402746261348,250760.52582956597,166,765377,153.0140274626135,703804.5258295661
0636,1.5094029422779927,7.534793096113573,22,107049,20.921862751816466,100226.88025124223,167,682675,165.9218627518165,675852.8802512423,27,134243,22.32718576016494,108048.41295486077,172,709869,167.32718576016498,683674.4129548608
0616,0.7575795876900003,6.050459228067203,42,197368,41.390761392001124,195182.48796348853,139,704810,138.3907613920011,702624.4879634886,45,212843,41.93429005125084,198095.26664202882,142,720285,138.93429005125085,705537.2666420289
0612,0.010795226192499865,0.6797643305096697,34,139080,30.028063069398208,123367.21228264664,170,684261,166.02806306939823,668548.2122826467,42,184019,32.09228817565585,134534.87913889124,178,729200,168.09228817565588,679715.8791388914
0613,0.027167863512856508,1.2666805170756867,33,137391,29.280360247711315,122902.90249130432,188,689775,184.28036024771131,675286.9024913044,39,159612,31.561720547752376,131097.01675758878,194,711996,186.5617205477524,683481.016757589
0634,0.012138092264500282,0.7310373108111472,53,177721,52.14894238966388,174514.6837821638,200,699931,199.1489423896639,696724.6837821637,57,191498,53.51993689181329,179426.5894989105,204,713708,200.51993689181327,701636.5894989104
0652,0.0714387345534515,2.921568265571331,50,212172,45.37506863498403,194061.30628991406,152,676330,147.37506863498405,658219.3062899138,65,304678,49.846080475866636,223438.6662599531,167,768836,151.84608047586664,687596.6662599528
0615,0.1597977033672897,2.5954533380969127,23,125374,20.856460848639866,112748.77270129022,143,694696,140.85646084863987,682070.7727012901,30,168921,22.86768409077833,126443.05268289379,150,738243,142.86768409077834,695765.0526828937
0628,0.0556282616264995,1.9634871759095542,61,215499,57.24096144557369,203398.40650179292,182,706872,178.24096144557362,694771.406501793,69,240343,59.54336194131534,211731.03548969814,190,731716,180.54336194131528,703104.0354896983
0647,0.05692615907348382,2.933302672968944,57,260140,53.431277636706966,240260.29410409497,157,688574,153.431277636707,668694.2941040951,73,336543,57.397442294982255,258642.0995132735,173,764977,157.3974422949823,687076.0995132737
0640,0.01474512438099991,0.9016610011488408,66,310967,64.89536639668701,305918.83347549895,159,695514,157.89536639668705,690465.8334754986,73,338047,66.71307019119851,312887.2612510067,166,722594,159.7130701911985,697434.2612510064
0644,0.021602998639984057,1.0605153165432124,53,227679,50.603356032483944,217523.61772770353,155,696876,152.60335603248393,686720.6177277035,56,238527,51.60124041964887,221475.73628922226,158,707724,153.60124041964883,690672.7362892224
0645,0.08375881122449984,1.759504885293207,32,166676,29.32289029055449,152117.8617372357,133,688721,130.32289029055448,674162.8617372358,41,223437,31.886550545280073,169086.0427929163,142,745482,132.88655054528007,691131.0427929162
0609,0.3467065685245004,3.5149338959125154,26,144926,23.88623165577137,131932.9193268564,140,708571,137.88623165577135,695577.9193268564,31,168736,25.095692510339475,138493.9672809775,145,732381,139.09569251033946,702138.9672809775
0642,0.2400567034585007,5.155540614595154,47,265712,41.812667262661094,238899.48873584517,133,737217,127.8126672626611,710404.4887358453,61,357497,46.01315966695648,268189.2650869546,147,829002,132.01315966695645,739694.2650869545
0608,8.521901993922445,19.656641345995716,38,178280,35.57051296354173,164494.44023595427,130,700264,127.57051296354176,686478.4402359542,46,224965,38.109363001081654,178149.66500412923,138,746949,130.10936300108173,700133.6650041292
0653,0.034369923467000574,1.6287969654221708,70,331009,65.35110081414919,307099.97364436096,151,712199,146.35110081414922,688289.9736443608,77,380536,67.04995174049468,317894.18056481646,158,761726,148.0499517404947,699084.1805648163
0605,0.4824858394646174,6.051947969389056,37,183437,31.837919856930558,156723.3261522914,163,710543,157.83791985693054,683829.3261522915,41,204757,32.937565131633086,162292.3678876695,167,731863,158.93756513163308,689398.3678876696
0643,0.018237971262499895,0.8568682010063432,54,250001,52.303755907587345,242962.43307946972,156,703473,154.30375590758732,696434.4330794696,57,264148,53.26845004850334,246855.59313727467,159,717620,155.2684500485033,700327.5931372746
0639,0.051905476465499964,1.749164393018427,55,273600,51.14229238163945,254528.31818457475,147,702216,143.14229238163944,683144.318184575,61,309151,52.43552582274708,262219.2891068936,153,737767,144.43552582274705,690835.2891068939
0604,3.4979935097340067,12.153403578095016,52,220745,51.156971400165006,216494.47437921638,169,707397,168.15697140016496,703146.4743792166,53,224299,51.319153508854754,217070.86959349975,170,710951,168.3191535088547,703722.8695934999
0631,0.055847155716500445,2.84760643733755,56,300047,51.148704682697556,274409.1815653509,132,711160,127.14870468269761,685522.1815653509,66,369583,54.29824093229843,298605.5073514381,142,780696,130.29824093229846,709718.5073514379
0601,7.965441387488642,18.589452862515316,37,141229,36.808602465041304,140495.92994764517,172,701726,171.80860246504133,700992.9299476452,41,157772,38.04233255600769,145832.4639502672,176,718269,173.04233255600772,706329.4639502671
0651,1.2761186125498305,8.189546891306287,49,258742,47.2650066968928,246587.40786687264,141,703374,139.26500669689275,691219.4078668728,56,301225,49.657868430517595,259097.95225388443,148,745857,141.65786843051757,703729.9522538844
0611,0.13449168010614815,2.792145435878032,41,204380,36.724727872351124,177665.69078503386,149,732066,144.7247278723512,705351.6907850339,46,238833,38.52342124705864,189002.97287226262,154,766519,146.5234212470587,716688.9728722628
0632,0.031957741601999795,1.747252934546074,50,221081,46.578759424615654,206034.47006168097,153,705132,149.5787594246156,690085.470061681,57,253797,48.748242703781074,216057.06417644615,160,737848,151.74824270378102,700108.0641764463
0602,3.580148955839907,16.63202293275352,62,243830,57.96815961158764,226980.03060823586,153,672552,148.96815961158765,655702.030608236,70,284564,60.89922334383728,241661.7291964785,161,713286,151.89922334383726,670383.7291964786
0624,1.771944047327939,11.094957334244693,42,175576,39.02627836074418,166294.0985056885,146,701074,143.02627836074416,691792.0985056886,44,187801,39.42508032535136,168590.57104838328,148,713299,143.42508032535133,694088.5710483834
0621,1.7476426918610004,10.629298567793262,54,312525,52.264062421915895,303666.84511195496,119,695451,117.2640624219159,686592.8451119548,59,338247,53.55863995053897,310705.2825150998,124,721173,118.55863995053897,693631.2825150997
0617,0.05022699269620879,1.600829235946676,46,229109,43.62932937695478,216158.8552358847,141,705889,138.62932937695481,692938.855235885,48,237129,44.209835036567156,219702.57835900638,143,713909,139.20983503656714,696482.5783590068
0638,0.02598810635899999,1.2845805169264153,54,254305,51.71687748936559,243819.0593682021,153,700196,150.71687748936557,689710.0593682023,65,309588,54.73848425900456,259101.4149815787,164,755479,153.73848425900457,704992.414981579
0633,0.07339197234917945,2.7313723227366093,105,428828,95.94530737218902,391514.6777026423,167,689757,157.94530737218898,652443.6777026424,120,484738,100.56348836980958,408573.1641566443,182,745667,162.56348836980956,669502.1641566445
0650,0.7016324958309976,6.210298536460727,45,258138,41.537648756255166,239441.62455167994,130,679140,126.53764875625517,660443.6245516798,57,319581,45.31068286865366,260023.11121449573,142,740583,130.31068286865366,681025.1112144957
0627,0.1781992915470005,3.076244350316871,55,225190,52.44671647819503,215607.17676591256,162,700615,159.44671647819504,691032.1767659127,67,273644,55.90921954049592,230462.11690891127,174,749069,162.90921954049594,705887.1169089114
0620,1.2775645887837226,7.03881567078984,45,194032,39.205482056304255,167143.61805828015,150,705769,144.20548205630425,678880.6180582802,48,207138,40.407880878857114,172214.16003354808,153,718875,145.4078808788571,683951.1600335481
0619,0.24232990557899992,3.708296591474523,33,149593,30.822068995415428,140096.51322627158,148,698400,145.8220689954154,688903.5132262715,38,176781,32.82887480073543,150724.29518131271,153,725588,147.8288748007354,699531.2951813126
0649,0.13984221281675027,3.329802848310728,49,327306,41.31056000139737,276307.04700624704,124,736845,116.31056000139736,685846.0470062473,58,377053,43.72493182569776,289455.25097155006,133,786592,118.72493182569775,698994.2509715505
0606,0.04805493441950006,1.7162484135995693,47,239307,44.9007406151515,230266.9545276471,151,687216,148.90074061515153,678175.9545276471,57,284205,47.579984484223026,241365.47163423506,161,732114,151.57998448422305,689274.471634235
0637,0.014007215823000095,0.7295961971835373,61,238083,58.54479940760325,229779.56041543445,179,707267,176.54479940760322,698963.5604154343,64,251557,59.505074665863425,233943.0805164365,182,720741,177.50507466586342,703127.0805164364
0648,0.03755904577194334,1.5848828843747051,53,276436,46.63504787696111,242315.3906271263,150,707244,143.6350478769611,673123.3906271264,64,322938,50.090332295481616,257102.83867633893,161,753746,147.09033229548163,687910.838676339
0629,0.02349554125099987,1.166180215555536,40,147466,37.82889396786668,138678.37581947062,175,697695,172.8288939678667,688907.3758194707,49,178143,40.62373711762735,149483.05588904308,184,728372,175.6237371176274,699712.0558890434
0610,0.4864836807144993,4.285148616402225,25,140221,24.306092255959392,135434.9230217347,126,688264,125.30609225595944,683477.9230217349,28,156883,25.041133105309886,139451.03750994444,129,704926,126.04113310530994,687494.0375099446
0630,0.03493351655999961,1.484079610726045,58,220018,54.41243838204274,205961.56735170327,175,705503,171.41243838204286,691446.5673517032,67,260440,56.48436509882657,215263.7062149704,184,745925,173.4843650988267,700748.7062149704
0603,1.7133635190635055,11.750434637328722,37,170393,34.718458794177145,161091.08683592154,157,720549,154.71845879417714,711247.0868359215,46,212556,37.8218382093707,174982.47928590805,166,762712,157.8218382093707,725138.479285908
0641,0.08034340351049979,2.3399071722381843,30,183531,27.224624025563944,163552.69560556824,140,696335,137.22462402556394,676356.6956055682,43,251489,30.51370169158337,180585.6912948626,153,764293,140.51370169158332,693389.6912948627
0607,0.14816364647799998,1.9967170370954015,52,246535,49.6055714312619,235777.743711551,156,698853,153.60557143126184,688095.743711551,58,281511,50.92119790724367,243986.98915045895,162,733829,154.92119790724362,696304.9891504587
0623,2.5602401893665,12.801492587375396,59,326281,57.79982690648689,318917.4123143229,130,695904,128.7998269064869,688540.4123143227,69,373975,60.83357890390559,332616.65523952316,140,743598,131.83357890390562,702239.6552395232
0625,0.4333255106970013,4.94884974466435,44,182558,42.36666727193743,174037.59562078983,157,689199,155.36666727193742,680678.5956207901,52,215704,44.37181766319501,182690.5533592097,165,722345,157.371817663195,689331.5533592099
0614,0.07108090988753972,2.024595680631826,47,228039,39.45381051127669,192761.4014159212,153,714229,145.4538105112767,678951.4014159212,51,250537,40.4656028134984,198678.88559632798,157,736727,146.46560281349844,684868.885596328
0635,0.042736559005499504,1.5677220430792542,45,262586,43.56035284295417,247707.80739470525,128,708001,126.56035284295412,693122.8073947054,51,287115,45.16092260898808,254408.4063783343,134,732530,128.16092260898805,699823.4063783344
0622,0.30450889194200015,4.65153666829277,48,240400,45.44083911645998,228027.25513302188,144,711176,141.44083911646,698803.2551330219,52,263932,46.696746618968845,235773.2998591205,148,734708,142.69674661896886,706549.2998591205
0646,0.018314500553000306,0.8961654370596804,32,188877,31.109020577543813,183406.41563121675,112,672965,111.10902057754383,667494.4156312166,49,284334,36.16309071588859,211546.20301127151,129,768422,116.16309071588859,695634.2030112714
