geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
5308,2.316403725743999,12.618295871652819,109,162852,101.35359144005702,151626.21949647693,449,665739,441.3535914400571,654513.2194964769,135,202706,110.52941385374817,165928.128080239,475,705593,450.5294138537481,668815.128080239
5301,1.979794297566964,11.17792357435016,95,150531,87.50502970076904,138180.26312379556,452,666879,444.50502970076906,654528.2631237955,134,226991,99.29747627433584,161748.5671134011,491,743339,456.2974762743358,678096.5671134008
5302,0.33454251497885895,14.37968494041368,163,246742,134.06920116634046,201677.39035549652,442,658045,413.0692011663404,612980.3903554963,187,279661,141.54110471791512,211014.67264924047,466,690964,420.54110471791495,622317.6726492404
5305,4.864230670454847,12.054126929059231,48,56417,47.69335985663835,56093.390951610076,489,672476,488.69335985663844,672152.39095161,48,56417,47.69335985663835,56093.390951610076,489,672476,488.69335985663844,672152.39095161
5306,2.1922615961640073,15.586544152188589,140,188403,120.94826495875392,161742.29985742003,483,635505,463.9482649587542,608844.2998574198,172,232443,132.32793161448598,176933.70421782718,515,679545,475.32793161448615,624035.7042178271
5307,0.04877812561701124,2.4245259529640903,90,110022,74.92270221365695,92159.59839267794,529,661243,513.9227022136571,643380.5983926778,110,133145,81.63142130292755,100025.27803354163,549,684366,520.6314213029276,651246.2780335415
5309,0.06295526684647716,2.244074648020547,98,145967,87.65446137900815,132070.8837999242,473,666911,462.65446137900824,653014.8837999242,128,185374,96.0507605436088,143396.8788220253,503,706318,471.05076054360893,664340.8788220254
5310,0.2675931544650141,4.478927137171287,97,151356,91.31843032678024,142372.10348267,436,663308,430.31843032678034,654324.10348267,120,182202,97.14350531191296,150049.83431699133,459,694154,436.14350531191303,662001.8343169913
5303,2.80661658134934,12.956425356024205,68,78558,64.6931740535667,74351.635595756,492,671585,488.69317405356657,667378.635595756,72,84128,66.15604291507074,76367.47681813352,496,677155,490.15604291507066,669394.4768181335
5304,6.026574243586078,18.398214254272773,47,58196,45.506482116944646,55904.48941526855,462,674619,460.50648211694454,672327.4894152684,49,61785,45.990410775648485,56844.67882391215,464,678208,460.99041077564834,673267.678823912
