geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
1226,1.136206940167,8.508427273709565,27,143988,26.575994794676266,141366.2954287653,138,671527,137.57599479467626,668905.2954287652,31,180051,28.05579659333658,153753.07099046663,142,707590,139.05579659333654,681292.0709904665
1214,0.12397610062150037,2.4953195259779344,56,200795,54.94633880589608,198007.3249236954,194,684961,192.94633880589606,682173.3249236952,67,240724,58.13536621264402,209766.75587853687,205,724890,196.13536621264402,693932.7558785365
1227,0.13441213133249988,1.974219868038681,44,225773,40.09164757917087,202569.68909686495,154,725420,150.09164757917088,702216.6890968648,51,267944,41.88533995194118,214118.85807490576,161,767591,151.88533995194118,713765.8580749055
1221,0.06196862143250026,1.7088452489007664,59,257433,56.281551629127385,247173.91310602796,156,691880,153.2815516291274,681620.913106028,71,320143,59.79602659656887,265506.70817634783,168,754590,156.79602659656885,699953.708176348
1204,0.5114713338344973,7.047821858005945,64,329110,58.67306257077032,307928.93957157765,136,711982,130.6730625707703,690800.9395715777,75,395803,62.294465037657055,330319.02042148233,147,778675,134.29446503765703,713191.0204214823
1225,0.7909778408725014,5.641260563411655,50,312785,46.51940271588839,291049.5975090832,119,700487,115.5194027158884,678751.597509083,61,366839,49.61586567334374,306694.54015977314,130,754541,118.61586567334373,694396.5401597727
1211,0.6971237517854995,5.163818857566614,39,196255,38.208269019334296,190959.13452150318,146,694529,145.2082690193343,689233.1345215032,43,213330,39.36639595301214,196073.60195248423,150,711604,146.36639595301213,694347.6019524843
1206,0.7703209534909936,6.098105061738968,27,112225,25.988848383491014,106466.39785649249,163,696552,161.988848383491,690793.3978564924,36,153433,28.560781109412364,117440.47640227243,172,737760,164.56078110941232,701767.4764022725
1216,0.2818224580664991,2.75249811407015,17,92853,16.997937719878053,92848.71175614097,172,695363,171.99793771987805,695358.7117561409,18,95752,17.13125055089122,93235.18565324815,173,698262,172.1312505508912,695745.1856532481
1210,0.3341117845819998,4.577645736028605,62,320093,58.028890091063666,303290.4098369751,134,686241,130.02889009106366,669438.4098369749,81,420212,63.146080472489245,330438.9680995212,153,786360,135.14608047248925,696586.9680995209
1203,1.9012600277254907,8.134933880671998,47,256006,45.22311368128004,250230.40818677802,136,688554,134.22311368128007,682778.4081867782,54,305411,46.83394587346604,261211.3037855043,143,737959,135.83394587346604,693759.3037855045
1202,2.4467068657090043,8.719345443363226,30,112501,29.909521792738218,111928.50950917965,170,694729,169.90952179273825,694156.5095091797,34,126587,30.607309010798794,114379.1299140572,174,708815,170.6073090107988,696607.1299140573
1205,0.36970410850449886,10.987477123858506,102,519652,90.24293819346777,450198.3961891948,149,716627,137.24293819346772,647173.3961891948,133,657449,99.60079843191902,491093.3351650793,180,854424,146.60079843191897,688068.3351650792
1224,0.028078961743000157,1.1176623334224554,48,231078,45.61256978410862,219626.2284867774,147,687233,144.61256978410862,675781.2284867775,57,281698,48.67696618914765,235381.20704574382,156,737853,147.67696618914763,691536.207045744
1222,0.08426178929549998,2.81343455687008,88,351412,82.16133121031336,329903.6058198499,193,694890,187.16133121031334,673381.6058198498,107,434025,88.41177223625908,355650.0958418648,212,777503,193.41177223625905,699128.0958418645
1207,0.13834705048550003,2.8686973804391322,41,196342,38.31890031044562,184946.2709548412,138,668483,135.31890031044563,657087.270954841,53,265397,41.4874462038866,204568.82894185663,150,737538,138.4874462038866,676709.8289418565
1215,0.2079267708475013,3.1606845732296764,55,238452,52.101114824054314,225034.3106793659,172,710817,169.10111482405435,697399.3106793659,62,263626,53.9638069269053,232292.05193607206,179,735991,170.96380692690536,704657.0519360718
1220,0.6325839479284988,6.059614525005261,92,437327,79.98004450023095,381223.22896665527,157,719574,144.980044500231,663470.2289666553,117,550666,86.80222439302418,411466.85464665084,182,832913,151.80222439302423,693713.8546466506
1219,0.3203630051004997,3.623090989492087,37,145394,33.59121163056392,131094.47359072746,192,707759,188.5912116305639,693459.4735907275,42,167063,34.87120892738254,136727.68522141883,197,729428,189.87120892738253,699092.6852214189
1208,0.5739544524854994,4.140824053225171,18,109362,17.499050955440747,102429.82595947738,148,715590,147.49905095544077,708657.8259594773,19,115098,17.90905234371736,104781.59392263203,149,721326,147.90905234371738,711009.593922632
