geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
2603,0.7679875070590002,6.279598213103537,123,185268,121.09787561511615,182583.8678977211,501,708047,499.097875615116,705362.8678977211,130,196071,122.77684808177214,185020.17895727704,508,718850,500.776848081772,707799.1789572772
2601,16.381095406831108,24.88839876042026,83,74211,82.45923304867587,73743.07971186172,653,705364,652.459233048676,704896.0797118617,86,78238,83.4429434346905,75081.29748326876,656,709391,653.4429434346906,706234.2974832688
2604,2.505664972991505,9.142387644091762,114,162759,113.09140043327046,161711.3556860924,548,703393,547.0914004332705,702345.3556860922,117,167519,113.6480866850262,162462.32658807514,551,708153,547.6480866850261,703096.3265880748
2609,0.05356331824449993,1.973828901115242,147,182602,146.0827583351738,181194.35859628403,650,704919,649.0827583351739,703511.358596284,151,187425,147.18597799350474,182557.88721930003,654,709742,650.1859779935048,704874.8872192998
2612,0.12166695101149971,2.7114029491922143,113,154335,112.69111106418512,153980.05547202172,591,705078,590.6911110641851,704723.0554720218,115,157835,113.25017499108843,154893.96468122874,593,708578,591.2501749910883,705636.9646812289
2607,1.2490124831309986,7.724109555142602,119,167715,118.71114803083384,167045.81663942078,557,706970,556.7111480308339,706300.8166394206,119,167715,118.71114803083384,167045.81663942078,557,706970,556.7111480308339,706300.8166394206
2610,1.798130064376993,6.799301996678833,112,155688,110.05967027548095,153264.03207532762,494,708314,492.0596702754809,705890.0320753276,117,162648,111.65318575678215,155310.39925796058,499,715274,493.65318575678214,707936.3992579606
26ZZ,0.5399512320149987,6.026150467969021,4,0,4.0,0.0,4,0,4.0,0.0,9,5202,4.9187194806760255,1003.3793526967913,9,5202,4.9187194806760255,1003.3793526967913
2611,0.1250512252440004,3.1859836379088873,166,253759,165.0314128633308,252582.42878813072,488,704523,487.03141286333084,703346.4287881308,168,256827,165.5499183541478,253466.00219790163,490,707591,487.54991835414785,704230.0021979017
2608,0.4383057441039986,4.122958241526386,114,172979,113.62464467609445,172210.33496170593,517,707193,516.6246446760945,706424.334961706,115,174944,113.80871932678926,172572.04165032125,518,709158,516.8087193267893,706786.0416503212
2602,1.7743428564115031,7.219717690541347,90,139311,86.34657740454705,134004.16984167264,483,708665,479.3465774045471,703358.1698416728,96,146981,87.77497232145943,135834.73669403675,489,716335,480.7749723214594,705188.7366940369
2606,1.4440249998300014,5.90436420091128,70,89715,69.96590802056909,89671.6006055769,574,704289,573.9659080205691,704245.600605577,73,93824,70.9365753668075,90964.92593257793,577,708398,574.9365753668075,705538.925932578
2613,0.05288500821799986,1.9307137764437696,175,173084,172.93742629841557,171241.3964689999,786,705778,783.9374262984156,703935.396469,185,181203,175.61263803601105,173277.63679219253,796,713897,786.612638036011,705971.6367921926
2614,0.06332857057300001,2.880234077963933,201,207424,198.22743365000252,205388.14513095474,716,706236,713.2274336500024,704200.1451309547,208,213094,199.96220462860404,206835.6323242756,723,711906,714.9622046286037,705647.6323242756
2605,1.2236734878189985,8.609205532357418,104,132532,102.82932552317287,131185.23975895095,643,704871,641.8293255231729,703524.239758951,106,134776,103.81747148912861,132294.01745593976,645,707115,642.8174714891286,704633.0174559398
