,geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1,cpolsby,rank_cpolsby,dpolsby_0.5,dpolsby_pro_0.5,dpop_polsby_0.5,dpop_polsby_pro_0.5,rank_dpolsby_0.5,rank_dpolsby_pro_0.5,rank_dpop_polsby_0.5,rank_dpop_polsby_pro_0.5,dpolsby_0.1,dpolsby_pro_0.1,dpop_polsby_0.1,dpop_polsby_pro_0.1,rank_dpolsby_0.1,rank_dpolsby_pro_0.1,rank_dpop_polsby_0.1,rank_dpop_polsby_pro_0.1
0,0104,2.301477013216336,11.125814461858672,100,138177,96.43648250588456,133166.4976603808,544,681496,540.4364825058844,676485.4976603808,113,155212,98.95516160526465,136369.91972627392,557,698531,542.9551616052645,679688.9197262736,0.2336430565942651,310.0,0.0544,0.058111479986602946,3.569371834818066e-05,3.8147715513483985e-05,313.0,334.0,304.0,331.0,0.04362127026392043,0.0554481500789524,2.8995799910204795e-05,3.6548791415571386e-05,263.0,318.0,252.0,308.0
1,0107,2.5551004921104274,12.785781262082946,127,166011,114.66255362873292,149099.32617606767,613,686168,600.6625536287329,669256.3261760675,164,217599,124.75459800430828,163029.71777795046,650,737756,610.754598004308,683186.7177779503,0.19640987038685118,346.0,0.03800607601215202,0.04568644218231676,2.4897556652289935e-05,3.010517274557737e-05,383.0,386.0,368.0,369.0,0.02416716240333135,0.039242224949315174,1.558113031390933e-05,2.5704304711733042e-05,376.0,383.0,366.0,365.0
2,0103,1.9325412634464096,8.850550834385256,82,125611,77.46932777697188,117637.78250741832,464,681163,459.46932777697197,673189.7825074187,90,137346,79.31569746448261,120190.26426363725,472,692898,461.3156974644826,675742.2642636375,0.31002594361423297,214.0,0.06900654372397383,0.07655912303321315,4.317135733711762e-05,4.8645632772264815e-05,265.0,282.0,260.0,273.0,0.058271604938271604,0.07332970497712371,3.6731382634477994e-05,4.6778091879471986e-05,200.0,259.0,194.0,249.0
3,0102,2.534216767832425,10.610639321049854,86,107748,81.35217744454837,102494.26456606336,531,693585,526.3521774445485,688331.2645660634,101,125150,85.10179020113928,106814.65243672274,546,710987,530.1017902011394,692651.6524367228,0.28285933748457426,252.0,0.07179556517036235,0.07953129620763133,5.9742206267359236e-05,6.55236933070857e-05,256.0,271.0,189.0,214.0,0.05352416429761788,0.07319507816126827,4.539415665643896e-05,6.070901845970894e-05,213.0,260.0,142.0,193.0
4,0105,0.9846246376309844,6.5490316885236,59,86395,57.72040589235589,85055.4124048254,426,683019,424.720405892356,681679.4124048253,64,92476,58.593611259335745,86002.32142638111,431,689100,425.5936112593357,682626.3214263811,0.2884870873769591,241.0,0.1223786268313703,0.12748068092761206,9.150726326568126e-05,9.422719621242958e-05,140.0,168.0,109.0,139.0,0.105224609375,0.12396371108523539,8.057942746462442e-05,9.22917077073221e-05,80.0,143.0,65.0,111.0
5,0106,1.0599186654524997,8.148967516778676,93,138370,85.01534960167014,126186.35557177707,421,670751,413.01534960167015,658567.3555717771,119,178171,92.39310908062569,138825.32014504308,447,710552,420.39310908062566,671206.320145043,0.2005751986590301,342.0,0.04867614753150653,0.0571441138328662,3.503300950693919e-05,4.135951185444492e-05,337.0,340.0,309.0,315.0,0.031565567403431964,0.0492466196579765,2.2383182265174618e-05,3.4827208816144406e-05,337.0,341.0,300.0,318.0
6,0101,1.5226683189400991,11.590213641160524,74,105333,67.39907733394088,96593.11028934989,432,675726,425.39907733394097,666986.11028935,82,116245,69.59394690754694,100003.1314330426,440,686638,427.5939469075471,670396.1314330426,0.1424401076159271,399.0,0.07888970051132213,0.09364587266236021,6.090342584225514e-05,7.148657481823428e-05,230.5,239.0,184.0,193.0,0.06543723973825104,0.08828534401469786,5.0813518839750314e-05,6.70354147393154e-05,171.5,215.0,127.0,168.0
7,0200,282.141098227428,371.8845717981594,105,113255,87.94385309463031,94610.57097155873,506,672119,488.9438530946303,653474.5709715588,132,150070,95.81043822689941,105264.51046544356,533,708934,496.8104382268994,664128.5104654436,0.02563656850828263,436.0,0.04589569160997732,0.06321905673706904,5.240001408702707e-05,7.300445537592215e-05,348.0,321.0,215.0,189.0,0.030589990817263546,0.054120906077318724,3.147879071772681e-05,5.993605777224603e-05,341.0,328.0,234.0,197.0
8,0401,14.10903287525817,25.427509899185427,81,121379,74.8290212071967,111178.6625060992,485,726132,478.82902120719666,715931.6625060993,93,150565,78.08455446793424,119749.31029934507,497,755318,482.08455446793414,724502.3102993453,0.2742202013014177,264.0,0.07392165828379821,0.08551461317220689,4.928655530024467e-05,5.7920016851836795e-05,251.0,261.0,230.0,235.0,0.05746329055382125,0.07906657819238691,3.33182189281441e-05,5.052353543926114e-05,202.0,242.0,222.0,234.0
9,0407,0.05159768343700127,0.9697640485000129,57,85171,48.78316845688915,72145.15125355168,440,717791,431.7831684568891,704765.1512535516,74,110845,53.89410942676138,79602.43892503793,457,743465,436.8941094267614,712222.4389250376,0.6894581477039756,9.0,0.13542628501077256,0.18143693485543458,9.894970776565365e-05,0.0001354035730491346,118.0,118.0,96.0,87.0,0.08345507669831995,0.1504158456154001,6.0510161586198274e-05,0.0001123991181218779,109.0,104.0,102.0,86.0
10,0409,0.043536984584498256,1.318443842638782,59,90180,48.65486952781482,74870.75541525839,491,682658,480.65486952781487,667348.7554152582,89,126635,57.36792442600908,85437.58383771325,521,719113,489.36792442600915,677915.583837713,0.3147349248251353,207.0,0.14105142200517093,0.20303958726528376,8.394265902536122e-05,0.00011904973276094181,112.0,94.0,125.0,102.0,0.06577452341876026,0.14869529451023084,4.484248076459706e-05,9.287048239132653e-05,170.0,107.0,145.0,109.0
11,0402,1.9494652367543857,6.741147841772827,54,93019,49.31475510779151,85119.99401900804,503,710270,498.31475510779137,702370.994019008,63,110122,52.51512011830914,91721.6894731375,512,727373,501.5151201183091,708972.6894731375,0.5390855060501789,39.0,0.1724965706447188,0.2049037870879721,8.208808776321483e-05,9.694008568009505e-05,80.0,93.0,130.0,134.0,0.1289997480473671,0.1818508371504195,5.9980349971836936e-05,8.427241013674043e-05,62.0,79.0,106.0,123.0
12,0404,8.52228419533693,24.58758866088973,91,148320,83.61817881914834,135600.53404899518,403,703291,395.6181788191485,690571.5340489951,114,186983,90.43405861235745,146522.90651395152,426,741954,402.4340586123575,701493.9065139514,0.17714708029253878,362.0,0.04866562009419152,0.05658154869748791,3.1969483966559955e-05,3.755656573686249e-05,338.0,342.0,329.0,335.0,0.03277931671283472,0.04920743012386699,2.1221336587407603e-05,3.2674793600106345e-05,329.0,342.0,311.0,330.0
13,0408,0.1375695638865003,2.1750452952728248,39,78320,33.15887487131546,67522.11100759359,470,699561,464.1588748713154,688763.1110075936,65,124766,40.63590528949964,80568.81935088952,496,746007,471.6359052894996,701809.8193508893,0.36542277678589763,159.0,0.30900723208415515,0.42215028513693265,0.00011404604587032483,0.00015106987011224917,26.0,23.0,75.0,83.0,0.11739644970414201,0.28561892570743336,4.7923706413743075e-05,0.00010811487267542258,69.0,35.0,134.0,90.0
14,0405,0.07771172209000139,1.1753479978030297,31,48002,28.134375990328387,43916.712943285864,460,763830,457.1343759903285,759744.7129432856,39,63857,31.01837300513941,49203.328032385594,468,779685,460.01837300513944,765031.3280323852,0.7069089063291732,8.0,0.4786680541103018,0.5775230291934327,0.00033149581227346367,0.0003939200015111981,13.0,14.0,9.0,9.0,0.3076923076923077,0.4781202624692086,0.0001912062816901372,0.0003160023136875015,11.0,13.0,16.0,11.0
15,0403,3.879468990128795,12.988316303558149,75,138335,67.735100190834,123435.51504375336,392,651321,384.735100190834,636421.515043753,108,193964,77.06620547646456,139652.4174899132,425,706950,394.06620547646463,652638.4174899128,0.2889857552404187,240.0,0.06968888888888888,0.08385602168185301,3.403540573212557e-05,4.1770010658533824e-05,263.0,264.0,316.0,313.0,0.03643689986282579,0.06635004776998432,1.879085041571008e-05,3.3463835659294795e-05,306.0,283.0,335.0,325.0
16,0406,0.15549251127749972,1.7951469018415618,39,51970,32.38916966811823,43258.53837605371,517,717921,510.3891696681182,709209.5383760539,69,94872,41.68055897330983,56890.28765306111,547,760823,519.6805589733098,722841.2876530612,0.6063443762654721,24.0,0.3399079552925707,0.4865212580959129,0.00026580994371132766,0.00037899273521211545,23.0,18.0,13.0,12.0,0.11489182944759505,0.29913649531066927,8.452934834603126e-05,0.00022334009241104844,71.0,32.0,62.0,21.0
17,0504,5.762896931493668,14.15087924711117,95,126215,91.72827810948824,122391.03144673508,593,721206,589.7282781094882,717382.0314467347,108,148238,96.14830554617521,130231.88858158185,606,743229,594.1483055461754,725222.8885815815,0.3616461668558198,160.0,0.06570637119113573,0.07008829105840599,4.527280339987764e-05,4.7890713223520666e-05,281.0,299.0,250.0,282.0,0.051954732510288065,0.06427048734362298,3.382233238203774e-05,4.275991419884514e-05,224.0,289.0,220.0,268.0
