,geoid,carea,cperim,cpolsbypop,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
0,0107,2.5540215367385644,15.389205231954955,0.13551957661405528,92,337233,86.2124809356138,314808.2940026844,199,682001,193.21248093561385,659576.2940026844,106,402896,89.92863383873579,332206.3061261865,213,747664,196.9286338387358,676974.3061261867
1,0102,2.528299937211127,11.998659877510415,0.22068507999898063,58,216123,56.22121910680124,210189.4129579296,183,679967,181.2212191068011,674033.4129579297,63,238153,58.080701291807976,218215.30531711734,188,701997,183.08070129180786,682059.3053171175
2,0106,1.0625527745054983,9.846727183571234,0.13771351484880526,64,317622,61.294364694065656,301730.9971649327,147,682931,144.29436469406562,667039.9971649328,80,387287,65.31951527735205,318555.83638003486,163,752596,148.31951527735202,683864.8363800349
3,0101,1.523722105324312,13.223036701012305,0.1095098604279245,47,216868,44.09339681635636,206094.54454399808,165,666616,162.09339681635646,655842.5445439983,52,238977,45.78514882287946,214208.73299268566,170,688725,163.78514882287953,663956.7329926857
4,0105,0.983198680902492,6.836931876259742,0.2643191603754242,39,195183,38.582858409170825,193740.33619234987,149,683019,148.58285840917083,681576.3361923499,39,195183,38.582858409170825,193740.33619234987,149,683019,148.58285840917083,681576.3361923499
5,0104,2.3059816817433783,12.389666699875706,0.18877586558350712,71,308002,69.76632069559552,302633.9663209712,168,689905,166.76632069559557,684536.9663209715,74,317183,70.4722301775663,305583.92449527,171,699086,167.47223017756633,687486.9244952702
6,0103,1.9340586637781243,10.171525854617007,0.23491313042685277,59,257913,58.073377789324134,252400.12134590172,166,684195,165.07337778932416,678682.1213459021,62,268725,59.02527482000059,256119.4255810884,169,695007,166.02527482000062,682401.4255810889
7,0200,282.0733820980162,436.7314854100171,0.018584161217145755,57,189967,46.83978882135389,154941.38272965743,153,642730,142.83978882135386,607704.3827296575,71,257468,51.41587730696657,175821.3139753994,167,710231,147.41587730696654,628584.3139753994
8,0404,8.502803826011116,29.291391569683288,0.12453516893188003,69,301292,66.60042224623321,290315.1019512407,156,711738,153.6004222462331,700761.1019512408,79,353445,69.50547968570962,305152.1014082427,166,763891,156.50547968570962,715598.1014082428
9,0409,0.041695071818,1.853132700306332,0.15257435789388754,79,306789,77.36711674707395,301752.98807138833,179,710727,177.36711674707385,705690.9880713888,81,314836,78.1072966081218,304402.9853194338,181,718774,178.10729660812171,708340.9853194342
10,0407,0.051599034866000065,1.2553100840562317,0.4114806406269956,49,204300,47.71303718596878,198149.21124002157,169,710995,167.71303718596874,704844.2112400215,51,209456,48.32312132756347,199432.71512216626,171,716151,168.32312132756348,706127.7151221662
11,0403,3.89413838548834,14.058958377905155,0.24757965565920131,74,315206,71.1705164834274,301002.32897788286,167,708802,164.17051648342746,694598.3289778831,85,370008,74.38878622062786,317085.7751827272,178,763604,167.38878622062794,710681.7751827274
12,0408,0.13636276902999964,2.881252177710365,0.20641589341582597,41,197088,39.26682194492785,186821.92134488877,158,697688,156.2668219449278,687421.9213448889,47,222811,40.961558711599345,194449.22061138586,164,723411,157.9615587115993,695049.220611386
13,0405,0.07384901485699981,1.3362331050861365,0.5197447556643534,51,207391,50.722497561728105,206183.7553708432,172,710445,171.72249756172815,709237.7553708436,51,207391,50.722497561728105,206183.7553708432,172,710445,171.72249756172815,709237.7553708436
14,0401,14.111646865389517,29.1661413434026,0.20846330161160045,55,213569,52.60426126363634,204285.0362229396,170,708303,167.60426126363637,699019.0362229396,67,267282,56.044835923855544,220360.72155609218,182,762016,171.04483592385557,715094.721556092
15,0402,1.9492456660089832,7.2155173762948275,0.47048034788622045,48,207123,44.881895528541335,193948.1279449463,181,714903,177.88189552854138,701728.1279449464,58,241715,47.173295713154786,202328.01221946927,191,749495,180.17329571315483,710108.0122194694
16,0406,0.1583684472094999,2.474218723300392,0.3250890523182947,36,153790,34.35321660351539,146729.05468696193,173,715068,171.35321660351536,708007.0546869619,39,162797,35.200704273744094,149563.96736156516,176,724075,172.20070427374404,710841.9673615652
17,0502,1.3046380683134982,8.148447249102839,0.2469165464548271,33,154150,32.990868956285645,154101.96713036962,168,729192,167.99086895628562,729143.9671303695,33,154150,32.990868956285645,154101.96713036962,168,729192,167.99086895628562,729143.9671303695
18,0503,1.4353207291453898,11.328738754950109,0.14053862405087028,46,245610,45.00140447089032,240425.45628351218,140,720383,139.00140447089026,715198.4562835121,51,273888,46.558904528284636,250100.5976520645,145,748661,140.5589045282846,724873.5976520642
19,0504,5.764096614512041,16.02956560422484,0.2819016442945791,59,251577,56.894866487891285,239606.94055479614,184,738321,181.89486648789125,726350.9405547959,61,261981,57.849405195251286,244572.2563441282,186,748725,182.84940519525122,731316.2563441279
20,0501,5.081393119255043,22.252513394080992,0.12895391061812406,63,234085,62.84463522589107,233670.86035908392,194,728022,193.844635225891,727607.8603590842,64,237344,63.343943277957294,235298.1053007677,195,731281,194.34394327795727,729235.1053007679
21,0626,0.24110454095012684,3.7574202032699313,0.2146029667699104,34,155401,31.34155665616896,141568.41068663087,148,715887,145.3415566561689,702054.4106866308,42,187076,32.83051356082542,148063.15336997903,156,747562,146.8305135608254,708549.1533699791
22,0618,0.18399145622299776,3.1386671681325686,0.23470210877774017,50,240403,47.667063882845014,229869.91814965126,151,693447,148.66706388284504,682913.9181496511,65,312333,52.01402746261348,250760.525829566,166,765377,153.0140274626135,703804.5258295661
23,0636,1.5094029422779929,7.534793096113572,0.33409685995615696,22,107049,20.921862751816466,100226.88025124224,167,682675,165.9218627518165,675852.8802512423,27,134243,22.327185760164944,108048.41295486076,172,709869,167.32718576016498,683674.4129548608
24,0616,0.7575795876900003,6.0504592280672025,0.2600527502036467,42,197368,41.39076139200112,195182.48796348853,139,704810,138.39076139200108,702624.4879634886,45,212843,41.93429005125084,198095.2666420288,142,720285,138.93429005125083,705537.2666420289
25,0612,0.010795226192499865,0.6797643305096697,0.29357891873579145,34,139080,30.02806306939821,123367.21228264664,170,684261,166.02806306939826,668548.2122826467,42,184019,32.09228817565585,134534.87913889124,178,729200,168.09228817565588,679715.8791388914
26,0613,0.027167863512856508,1.2666805170756867,0.21278017875688351,33,137391,29.280360247711315,122902.90249130431,188,689775,184.2803602477113,675286.9024913043,39,159612,31.561720547752376,131097.01675758878,194,711996,186.56172054775243,683481.016757589
27,0634,0.01213809226450028,0.7310373108111472,0.28541790373549736,53,177721,52.14894238966389,174514.6837821638,200,699931,199.14894238966392,696724.6837821637,57,191498,53.51993689181329,179426.5894989105,204,713708,200.51993689181327,701636.5894989104
28,0652,0.0714387345534515,2.921568265571331,0.10517476249134596,50,212172,45.37506863498403,194061.30628991406,152,676330,147.37506863498405,658219.3062899138,65,304678,49.84608047586664,223438.66625995308,167,768836,151.84608047586661,687596.6662599528
