,geoid,carea,cperim,cpolsbypop,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
0,0104,2.3066647033107017,11.719129266181538,0.21105888752989463,104,145631,102.57282066089287,143160.472904415,545,683524,543.5728206608927,681053.472904415,111,153536,103.79174806560431,144508.48075119284,552,691429,544.7917480656042,682401.4807511928
1,0101,1.5238044947573175,12.317447950185132,0.1262111264220029,75,107845,68.6844356187506,99412.23681796773,432,675726,425.6844356187505,667293.2368179677,81,117184,70.58834302518125,102583.53020761094,438,685065,427.5883430251813,670464.5302076109
2,0102,2.528289371515056,11.339464018452967,0.24708796263859253,100,123922,97.18178049701788,120431.09331542418,519,680704,516.1817804970179,677213.0933154239,115,141072,101.20764273027477,125047.99361189244,534,697854,520.2076427302746,681829.9936118921
3,0103,1.9340122856754665,9.522394738863225,0.26802588044984016,97,144851,94.81537113537668,141417.98652421345,467,684416,464.8153711353767,680982.9865242131,100,150441,95.45697604109544,142368.18533017454,470,690006,465.4569760410954,681933.1853301742
4,0105,0.9833829439946272,6.679186703300577,0.2770035715026495,57,83129,56.10151163413314,82243.50783607872,426,683019,425.1015116341329,682133.5078360786,57,83129,56.10151163413314,82243.50783607872,426,683019,425.1015116341329,682133.5078360786
5,0106,1.0619851537064988,9.082973507605317,0.1617604008758769,118,173763,110.44565920551405,160908.26829772769,436,687405,428.44565920551406,674550.2682977277,135,198690,114.87504086740078,167875.90151262586,453,712332,432.8750408674009,681517.9015126257
6,0107,2.5537218660324985,14.213954974820151,0.15883769947009682,151,195344,140.27494547524583,181363.48738827862,608,679361,597.2749454752453,665380.4873882786,188,253529,149.80326847010846,196470.0198717381,645,737546,606.8032684701083,680487.0198717382
7,0200,282.22848143597776,393.7671142929257,0.02287345753138112,125,148269,103.61828838976068,121136.30478849975,504,670156,482.6182883897606,643023.3047884997,154,187047,112.15209539232431,132510.68801788345,533,708934,491.152095392324,654397.6880178836
8,0402,1.9479912228975031,7.0440183212569725,0.4933508786329382,65,104856,58.53178133012248,94952.56488198467,506,715693,499.53178133012227,705789.5648819847,73,118216,60.72875784367921,98279.37875544617,514,729053,501.72875784367903,709116.3787554463
9,0406,0.15838080154549858,2.3010137192920888,0.3759014357017125,42,65210,39.75275750218019,61414.575304792255,510,708765,507.7527575021802,704969.5753047924,53,80275,42.67400499323973,65157.39227562205,521,723830,510.6740049932396,708712.392275622
