,geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
0,0105,0.9833829439946272,6.679186703300577,36,182485,35.56444338612812,180862.82200263932,149,683019,148.5644433861282,681396.8220026393,36,182485,35.56444338612812,180862.82200263932,149,683019,148.5644433861282,681396.8220026393
1,0101,1.5238044947573175,12.317447950185132,47,216868,44.11347769937809,206167.85250030985,165,666616,162.11347769937802,655915.8525003098,52,238977,45.79736598693102,214233.3222617289,170,688725,163.797365986931,663981.3222617292
2,0103,1.9340122856754665,9.522394738863225,60,261717,58.67316178189108,254229.8310711575,166,684195,164.6731617818911,676707.8310711572,63,272529,59.52872559466,257424.7943296998,169,695007,165.52872559466005,679902.7943296996
3,0107,2.5537218660324985,14.213954974820151,88,324426,81.0867118222433,297452.07131059736,199,682001,192.0867118222433,655027.0713105972,106,407966,85.42414660769303,317985.6791507634,217,765541,196.42414660769302,675560.6791507633
4,0104,2.3066647033107017,11.719129266181538,70,300629,68.49354040971721,294185.6398772179,168,689905,166.49354040971718,683461.6398772178,72,307857,69.1049296694508,296967.3959130257,170,697133,167.10492966945083,686243.3959130256
5,0102,2.528289371515056,11.339464018452967,57,214949,54.906556498668536,207782.43985005672,183,679967,180.90655649866852,672800.4398500564,65,246454,57.2145762184562,217832.70155824238,191,711472,183.2145762184562,682850.7015582423
6,0106,1.0619851537064988,9.082973507605317,62,303579,58.573841796930225,284292.8325132509,147,682931,143.57384179693028,663644.832513251,79,375798,62.9691118153651,302795.4642970437,164,755150,147.96911181536515,682147.4642970436
7,0200,282.22848143597776,393.7671142929257,57,189967,46.97712775976333,155524.8644043108,153,642730,142.9771277597633,608287.8644043109,71,257468,51.58081630363464,176508.45383846288,167,710231,147.58081630363458,629271.4538384629
8,0409,0.04195876882000023,1.7170881858530291,64,249807,61.82525561056554,242424.76144248698,179,710727,176.82525561056556,703344.761442487,70,274919,63.440015998561385,248751.73202034394,185,735839,178.4400159985614,709671.7320203438
9,0406,0.15838080154549858,2.3010137192920888,26,110592,23.93530230419309,102297.87952305828,173,715068,170.9353023041931,706773.8795230584,30,126468,24.83567158612166,105827.75683097886,177,730944,171.83567158612166,710303.7568309789
10,0404,8.503601205698738,27.429319525742496,64,284026,61.5593329459761,272822.369065785,156,711738,153.55933294597602,700534.3690657852,73,335071,64.2712773809495,287406.56457421137,165,762783,156.27127738094947,715118.5645742117
11,0402,1.9479912228975031,7.0440183212569725,44,190347,40.77438672133262,176712.30778617304,181,714903,177.77438672133258,701268.3077861732,54,226993,43.23028265570804,185782.3971086483,191,751549,180.23028265570804,710338.3971086488
12,0408,0.1364471765050001,2.681537657810671,38,183364,36.05304199231786,172790.3247643235,158,697688,156.05304199231787,687114.3247643234,47,217081,38.69793590859207,182743.64648846,167,731405,158.69793590859206,697067.6464884599
13,0401,14.112755891602113,27.454395601060835,54,207112,51.35872562405451,196910.2430142278,170,708303,167.35872562405459,698101.2430142278,65,256899,54.72198970813446,212646.87167591407,181,758090,170.72198970813454,713837.8716759143
14,0407,0.05160221026149976,1.180205030464896,46,189640,43.722408192981675,180451.15219036755,170,713168,167.72240819298162,703979.1521903675,51,208086,45.047502418623495,185858.2529834761,175,731614,169.04750241862342,709386.2529834759
15,0403,3.894633961979231,13.781971382318403,65,271202,60.88160069503998,251373.4545054893,166,706629,161.88160069503994,686800.4545054893,77,325934,64.27472405459865,266664.4799889162,178,761361,165.27472405459866,702091.4799889162
16,0405,0.07389150255250211,1.2890567977483351,29,117615,28.212528420736184,114229.15798334152,172,710445,171.21252842073616,707059.1579833417,29,117615,28.212528420736184,114229.15798334152,172,710445,171.21252842073616,707059.1579833417
17,0503,1.4351097429461654,10.993004355645873,45,241251,43.89447511811212,235587.94729914446,140,720383,138.89447511811215,714719.9472991446,50,269529,45.44555996141892,245192.35151012766,145,748661,140.44555996141898,724324.3515101278
18,0504,5.764904753899412,15.706015655976849,59,251577,56.846567688005635,239493.6302893381,184,738321,181.84656768800565,726237.6302893382,61,261981,57.80185763962493,244466.22710610143,186,748725,182.80185763962498,731210.2271061016
19,0502,1.304445545631998,7.767642398424338,33,154150,32.88809637548719,153626.02566722324,168,729192,167.88809637548718,728668.0256672234,33,154150,32.88809637548719,153626.02566722324,168,729192,167.88809637548718,728668.0256672234
20,0501,5.080813977727924,21.81250518202132,62,230335,61.75295151834864,229535.95257113595,194,728022,193.75295151834868,727222.9525711356,63,233594,62.252357302002295,231163.5160200632,195,731281,194.25235730200237,728850.516020063
21,0649,0.1393737794712076,2.8796006054338124,45,305101,37.47089555901928,254217.56831831788,123,733216,115.47089555901928,682332.5683183178,55,356346,40.086712905833814,267545.1544472549,133,784461,118.08671290583379,695660.1544472547
22,0627,0.17846361009100006,2.6022274751488785,48,187576,44.131026766927974,173313.98622655205,164,710312,160.13102676692796,696049.9862265523,63,248061,47.97448945733692,189167.55568484656,179,770797,163.97448945733692,711903.5556848467
23,0647,0.05631500750003895,2.5988074756324857,50,228826,44.45822861709217,201542.21373175085,154,678416,148.45822861709215,651132.2137317507,69,311800,49.340624286679976,223031.11820810547,173,761390,153.34062428667988,672621.1182081057
24,0610,0.486498845610501,4.0411993618051065,24,137891,23.15059492058818,132188.42556870222,126,688264,125.15059492058815,682561.4255687023,27,154553,23.94990582064198,136544.49168894946,129,704926,125.94990582064196,686917.4916889495
