,geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1,cpolsby,rank_cpolsby,dpolsby_0.5,dpolsby_pro_0.5,dpop_polsby_0.5,dpop_polsby_pro_0.5,rank_dpolsby_0.5,rank_dpolsby_pro_0.5,rank_dpop_polsby_0.5,rank_dpop_polsby_pro_0.5,dpolsby_0.1,dpolsby_pro_0.1,dpop_polsby_0.1,dpop_polsby_pro_0.1,rank_dpolsby_0.1,rank_dpolsby_pro_0.1,rank_dpop_polsby_0.1,rank_dpop_polsby_pro_0.1
0,0102,2.5283321096769984,12.161478120058005,114,140546,112.19209181976142,138543.5741849812,520,681874,518.1920918197617,679871.5741849814,120,147320,113.71424166991919,140190.32193848558,526,688648,519.7142416699194,681518.3219384857,0.21481829171160038,231.0,0.040012311480455524,0.04116861814874159,3.451971100527285e-05,3.5420452779141535e-05,282.0,289.0,212.0,220.0,0.03652777777777778,0.04019156329553569,3.173027749147056e-05,3.467699611118668e-05,273.0,283.0,197.0,214.0
1,0107,2.554258998445004,15.594606481548029,166,213857,158.7836148274436,205704.43165371497,608,676335,600.7836148274432,668182.4316537151,194,259491,166.8648169507331,219561.4147849879,636,721969,608.8648169507327,682039.4147849879,0.13198541910261388,357.0,0.02206416025547975,0.023829048989589378,1.4788186605147907e-05,1.5790931746057082e-05,383.0,383.0,370.0,370.0,0.01689871399723669,0.021867106820211785,1.0721954275191154e-05,1.414807755917799e-05,391.0,385.0,383.0,379.0
2,0103,1.9340615078410008,10.364453477993198,102,153905,101.70836890071277,153205.84731573792,467,684416,466.7083689007128,683716.847315738,103,155189,101.90108756184931,153453.29807663723,468,685700,466.9010875618493,683964.2980766373,0.22624934605222596,204.0,0.044886582083813915,0.045116168444863713,2.8894467504917552e-05,2.912900159050576e-05,266.0,271.0,249.0,258.0,0.0441134885474597,0.04496423896941463,2.8471626653876118e-05,2.9045641920460388e-05,229.0,260.0,223.0,248.0
3,0106,1.0625027259699964,9.965807789057411,123,182929,117.46419720754132,171818.81232737534,435,689261,429.46419720754125,678150.8123273756,138,201423,121.57274851026352,176588.69068819983,450,707755,433.5727485102635,682920.6906882001,0.13443579001250677,353.0,0.028752726551655762,0.031125471168783055,2.059769320740291e-05,2.297126230025736e-05,342.0,339.0,316.0,305.0,0.023629489603024575,0.02933523062790301,1.744475305437727e-05,2.1900019315260603e-05,353.0,339.0,313.0,308.0
4,0105,0.9834336237479968,6.98854933263123,69,101553,68.66584648000493,101235.54590255924,426,683019,425.66584648000486,682701.5459025592,69,101553,68.66584648000493,101235.54590255924,426,683019,425.66584648000486,682701.5459025592,0.25303514512539665,178.0,0.08947700063011972,0.09027910590728454,6.62288585187055e-05,6.661389498826725e-05,117.0,119.0,103.0,110.0,0.08947700063011972,0.09027910590728454,6.62288585187055e-05,6.661389498826725e-05,98.0,114.0,83.0,104.0
5,0104,2.305466022495489,12.618862409563885,116,157350,115.40300167696267,156230.22973295182,545,683524,544.4030016769626,682404.2297329521,120,162125,116.16582359739193,157087.64643121132,549,688299,545.1658235973919,683261.6464312116,0.181939995664965,287.0,0.04050237812128418,0.040877685766154796,2.7607067282240243e-05,2.7958351926527832e-05,279.0,290.0,256.0,269.0,0.038125,0.0403991167723807,2.618648217908714e-05,2.768872623088357e-05,262.0,282.0,243.0,258.0
6,0101,1.6991773075159957,11.56301419285223,56,76853,54.942488985765884,75826.13825269302,437,681307,435.94248898576586,680280.138252693,59,80611,55.7742328616788,76809.90136420223,440,685065,436.77423286167885,681263.9013642021,0.15970056258198118,313.0,0.13934948979591838,0.1444150782375835,0.000115350956710946,0.00011831775334442173,68.0,71.0,48.0,53.0,0.12640045963803503,0.1404073357060244,0.00010542489145091519,0.0001154731365249338,61.0,69.0,46.0,50.0
7,0200,313.9951335024439,252.0358031627932,57,60389,56.99999999999999,60389.0,534,710231,534.0,710231.0,57,60389,56.99999999999999,60389.0,534,710231,534.0,710231.0,0.062116689597519495,423.0,0.16435826408125578,0.1643582640812558,0.00019475290669743593,0.00019475290669743593,51.0,57.0,20.0,23.0,0.16435826408125578,0.1643582640812558,0.00019475290669743593,0.00019475290669743593,44.0,52.0,16.0,21.0
8,0403,3.894242770885028,14.081090379565325,120,213148,116.46676652133793,207652.87723989433,426,707734,422.4667665213377,702238.8772398944,135,237400,120.4112631264402,214054.27033130426,441,731986,426.41126312644013,708640.2703313042,0.24680861467054113,186.0,0.029583333333333333,0.03114501283365823,1.557785065693625e-05,1.628579497175359e-05,338.0,338.0,364.0,366.0,0.02419753086419753,0.029409960627630394,1.2987972056163053e-05,1.546600107255761e-05,347.0,338.0,360.0,365.0
9,0407,0.05160219030249996,1.2624846216857948,80,117467,79.57809539085544,117000.61495475125,443,707804,442.5780953908554,707337.6149547516,83,123192,80.71061738003813,119139.19629504324,446,713529,443.71061738003806,709476.1962950433,0.4068420244493753,50.0,0.06921875,0.0698880357154263,5.12957350884241e-05,5.167142811360209e-05,166.0,173.0,139.0,145.0,0.06474089127594716,0.06811432891459505,4.7016101677835956e-05,4.998371100577009e-05,154.0,171.0,130.0,144.0
