,geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1,cpolsby,rank_cpolsby,dpolsby_0.5,dpolsby_pro_0.5,dpop_polsby_0.5,dpop_polsby_pro_0.5,rank_dpolsby_0.5,rank_dpolsby_pro_0.5,rank_dpop_polsby_0.5,rank_dpop_polsby_pro_0.5,dpolsby_0.1,dpolsby_pro_0.1,dpop_polsby_0.1,dpop_polsby_pro_0.1,rank_dpolsby_0.1,rank_dpolsby_pro_0.1,rank_dpop_polsby_0.1,rank_dpop_polsby_pro_0.1
0,0103,1.9340615078410008,10.364453477993198,60,261717,59.173583997665204,256649.53613805067,166,684195,165.17358399766522,679127.5361380506,63,272529,60.127117110696325,260378.164350844,169,695007,166.12711711069636,682856.1643508439,0.22624934605222596,204.0,0.04611111111111111,0.047172060181753926,9.98886236787277e-06,1.0310277930128876e-05,262.0,271.0,260.0,264.0,0.04257999496094734,0.04595150773441067,9.357583981354385e-06,1.0072101935120483e-05,238.0,265.0,240.0,260.0
1,0104,2.305466022495489,12.618862409563885,74,315458,72.78710632836213,310178.7463580632,168,689905,166.7871063283621,684625.7463580631,75,320727,73.26045859166419,312672.83943340165,169,695174,167.26045859166416,687119.8394334016,0.181939995664965,287.0,0.030679327976625273,0.031481365786123844,6.932760564606715e-06,7.115888831337262e-06,349.0,358.0,340.0,351.0,0.030044444444444443,0.031164058963130913,6.758066746775398e-06,7.028330460811831e-06,319.0,348.0,305.0,339.0
2,0105,0.9834336237479968,6.98854933263123,39,195183,38.917979554894366,194604.82384940612,149,683019,148.91797955489437,682440.8238494061,39,195183,38.917979554894366,194604.82384940612,149,683019,148.91797955489437,682440.8238494061,0.25303514512539665,178.0,0.09796186719263643,0.09832106273900586,1.7928700282618953e-05,1.802012486380523e-05,96.5,109.0,141.0,148.0,0.09796186719263643,0.09832106273900586,1.7928700282618953e-05,1.802012486380523e-05,83.0,96.0,109.0,137.0
3,0106,1.0625027259699964,9.965807789057411,64,317622,61.32356567074585,301891.71785352065,147,682931,144.32356567074586,667200.7178535206,80,387287,65.32575842840177,318618.87017874693,163,752596,148.32575842840177,683927.8701787469,0.13443579001250677,353.0,0.035888671875,0.03837801002287975,6.769485693459509e-06,7.320725243839446e-06,320.0,319.0,345.0,338.0,0.02546875,0.03475742998121356,5.01760035119726e-06,6.737011909683022e-06,349.0,329.0,359.0,348.0
4,0102,2.5283321096769984,12.161478120058005,58,216123,56.2458676766722,210276.74356783635,183,679967,181.24586767667213,674120.7435678364,63,238153,58.104485922566845,218301.08687186046,188,701997,183.1044859225668,682145.0868718604,0.21481829171160038,231.0,0.05439952437574316,0.05729106189666412,1.4557468580880148e-05,1.5245975083845148e-05,218.0,221.0,175.0,181.0,0.047367094986142604,0.05423500169340533,1.2377220923949333e-05,1.4314130079741933e-05,215.0,219.0,173.0,183.0
5,0101,1.6991773075159957,11.56301419285223,33,137783,32.56051845817157,136247.86922713902,169,677718,168.5605184581716,676182.8692271389,36,148790,33.38279662466983,139416.40092923766,172,688725,169.38279662466988,679351.4009292377,0.15970056258198118,313.0,0.155188246097337,0.15899125424214383,3.569913945723561e-05,3.642543322428505e-05,49.0,55.0,54.0,58.0,0.13271604938271606,0.15199309754826024,3.110988173745983e-05,3.495157421387994e-05,46.5,55.0,49.0,57.0
6,0107,2.554258998445004,15.594606481548029,92,337233,86.3403071017288,315243.1011304253,199,682001,193.34030710172874,660011.1011304252,106,402896,90.04910981599726,332607.530574054,213,747664,197.04910981599724,677375.530574054,0.13198541910261388,357.0,0.02351134215500945,0.025935535890014714,5.9968733848641355e-06,6.641406425673171e-06,393.0,393.0,369.0,366.0,0.01895692417230331,0.024300523487154252,4.605964204726266e-06,6.123015353930659e-06,389.0,387.0,373.0,366.0
7,0200,313.9951335024439,252.0358031627932,34,101972,34.00000000000001,101972.00000000007,167,710231,167.0,710231.0,34,101972,34.00000000000001,101972.00000000007,167,710231,167.0,710231.0,0.062116689597519495,423.0,0.1444636678200692,0.14446366782006914,6.830268083079621e-05,6.83026808307961e-05,57.0,63.0,17.0,17.0,0.1444636678200692,0.14446366782006914,6.830268083079621e-05,6.83026808307961e-05,44.0,61.0,12.0,15.0
8,0408,0.13629616697549918,2.9055905296204423,41,197088,39.2683583869977,186809.91328944825,158,697688,156.26835838699768,687409.9132894482,47,222811,40.95733954875122,194388.84974805784,164,723411,157.95733954875118,694988.849748058,0.20287320199602543,255.0,0.09399167162403331,0.10134108691398441,1.796142910759552e-05,1.969771970335878e-05,107.0,103.0,139.0,128.0,0.0742417383431417,0.09416214285611703,1.4571754730148856e-05,1.8392261668391998e-05,116.0,103.0,143.0,130.0
9,0404,8.501934375554905,29.715470944949704,69,301292,66.69874240256668,290703.42185749125,156,711738,153.69874240256672,701149.4218574914,79,353445,69.62146212025874,305559.2004417426,166,763891,156.62146212025874,716005.2004417425,0.12099359403183053,374.0,0.03276622558286074,0.034548963539869006,7.84052155323954e-06,8.296793720283343e-06,339.0,342.0,308.0,317.0,0.0265983015542381,0.0323120858937408,6.11487676066441e-06,7.66876530440736e-06,344.0,343.0,326.0,315.0
